chrom	start	end	mean.x	mean.y	fmnorm
62145	NC_006093.5	20930000	20940000	1.02	1.9	1.14975154097795
64178	NC_006093.5	650000	660000	2.29	4.1	1.092597586027
64200	NC_006093.5	670000	680000	2.06	5.12	1.56582074743528
64211	NC_006093.5	680000	690000	0.25	0.54	1.36335258700724
64222	NC_006093.5	690000	700000	1.14	3.37	1.81603604163562
64234	NC_006093.5	700000	710000	2.29	13.67	2.82991501412762
64256	NC_006093.5	720000	730000	5.05	10.73	1.33961605773587
64345	NC_006093.5	800000	810000	14.37	29.03	1.26680578478783
64356	NC_006093.5	810000	820000	5.82	11.24	1.20187225193114
64367	NC_006093.5	820000	830000	1.77	6.72	2.17703314731426
64378	NC_006093.5	830000	840000	2.43	9.32	2.191694915667
64400	NC_006093.5	850000	860000	0.53	2.52	2.50168074355522
64411	NC_006093.5	860000	870000	2.29	4.61	1.26174042695089
64467	NC_006093.5	910000	920000	5.65	12.64	1.41399496549305
64478	NC_006093.5	920000	930000	3.19	7.49	1.48373056931238
64566	NC_006094.5	0	10000	0.18	56.38	8.54336403574661
64567	NC_006094.5	10000	20000	8.35	16.39	1.22528902635654
67575	NC_006094.5	40000	50000	33.41	76.69	1.45107976157774
68393	NC_006095.5	11340000	11350000	28.66	53.04	1.14036344046894
68394	NC_006095.5	11350000	11360000	30.5	78.99	1.62518205404811
69242	NC_006095.5	190000	200000	0.01	7.1	9.72399648901054
69354	NC_006095.5	200000	210000	0.07	20.09	8.41722820129419
69909	NC_006095.5	250000	260000	1.46	2.73	1.15525385665834
70353	NC_006095.5	290000	300000	0.92	2.15	1.47695216815095
71093	NC_006095.5	8460000	8470000	40.15	75.73	1.1677862155858
71184	NC_006095.5	9280000	9290000	19.28	39.13	1.27349133328933
71288	NC_006096.5	1020000	1030000	1.71	2.91	1.01934410264089
71310	NC_006096.5	1040000	1050000	0.91	1.7	1.15391757055751
71321	NC_006096.5	1050000	1060000	1.86	3.8	1.28301807184142
71354	NC_006096.5	1080000	1090000	1.7	2.98	1.06209885894296
72838	NC_006096.5	24150000	24153086	0	0.03	Inf
73591	NC_006096.5	920000	930000	2.86	6.55	1.44780103426492
73646	NC_006096.5	970000	980000	1.22	2.36	1.20422698641746
73657	NC_006096.5	980000	990000	2.12	4.54	1.35094930734622
75636	NC_006097.5	860000	870000	1.04	1.84	1.07544351253442
77006	NC_006098.5	2730000	2740000	0.38	0.79	1.30817450935202
81769	NC_006101.5	10000	20000	25.18	53.34	1.33526081645041
81881	NC_006101.5	110000	120000	6.47	11.3	1.05680642992854
82454	NC_006101.5	16150000	16160000	5.24	11.14	1.34043179042108
82455	NC_006101.5	16160000	16170000	4.86	10.64	1.38279120651391
82458	NC_006101.5	16190000	16200000	0.12	0.22	1.12679039253464
82502	NC_006101.5	20000	30000	2.48	4.79	1.20200680996781
82625	NC_006101.5	310000	320000	59.61	120.24	1.26461191056404
82636	NC_006101.5	320000	330000	37.89	66.59	1.06580967492695
82724	NC_006101.5	40000	50000	1.68	3.99	1.50024878806209
82835	NC_006101.5	50000	60000	1.79	4.56	1.60139551151899
83057	NC_006101.5	70000	80000	2.99	7.93	1.65949665612437
83168	NC_006101.5	80000	90000	4.2	7.47	1.08304018974161
83279	NC_006101.5	90000	100000	6.5	14.11	1.37052763929995
84744	NC_006103.5	1400000	1410000	0.02	0.04	1.2523212746185
90851	NC_006110.5	0	10000	196.56	394.33	1.2567549843738
90994	NC_006110.5	2270000	2280000	6.12	10.49	1.02973239450312
92070	NC_006111.5	6420000	6430000	0.82	2.01	1.54582096117935
92199	NC_006112.4	1730000	1740000	1.36	2.87	1.32976536004385
93021	NC_006113.5	5540000	5550000	2.47	5.57	1.42548756037385
93121	NC_006114.5	0	10000	0.27	4.18	4.20479290453591
93122	NC_006114.5	10000	20000	0.05	3.35	6.31841046507627
93190	NC_006114.5	1600000	1610000	15.31	32.07	1.31907134556036
93217	NC_006114.5	1850000	1860000	18.4	32.28	1.06325608695191
93233	NC_006114.5	20000	30000	0.12	4.05	5.32913687166933
93236	NC_006114.5	2010000	2020000	8.98	17.76	1.23616550622746
93241	NC_006114.5	2060000	2070000	15.19	33.2	1.3803826463507
93242	NC_006114.5	2070000	2080000	20.79	35.36	1.01854979115156
93344	NC_006114.5	30000	40000	0.51	5.04	3.55717585614692
93444	NC_006114.5	390000	400000	0.11	0.2	1.11481775086857
93455	NC_006114.5	40000	50000	1.28	5.03	2.22673586442403
93566	NC_006114.5	50000	60000	0.38	4.88	3.9351310987378
93622	NC_006114.5	550000	560000	1.11	4.28	2.19937239466954
93633	NC_006114.5	560000	570000	7.99	19.81	1.56228274658001
93644	NC_006114.5	570000	580000	10.25	36.51	2.08498903366058
93655	NC_006114.5	580000	590000	15.1	51.24	2.01504320074771
93666	NC_006114.5	590000	600000	4.32	16.04	2.14489219890995
93678	NC_006114.5	600000	610000	6.87	21.09	1.87049836559409
93689	NC_006114.5	610000	620000	0.63	3.15	2.57424936950586
93700	NC_006114.5	620000	630000	4.58	14.42	1.90697293576238
93711	NC_006114.5	630000	640000	1.54	5.59	2.11223920676679
93722	NC_006114.5	640000	650000	5.67	16.53	1.79598735896859
93733	NC_006114.5	650000	660000	5.64	28.22	2.57527219481697
93744	NC_006114.5	660000	670000	17.09	65.23	2.18470450612566
93755	NC_006114.5	670000	680000	7.7	37.69	2.54357271870059
93766	NC_006114.5	680000	690000	12.21	34.97	1.77037587032881
93777	NC_006114.5	690000	700000	6.65	31.24	2.48428948237193
93789	NC_006114.5	700000	710000	8.95	29.87	1.99105892477767
93800	NC_006114.5	710000	720000	5.59	27.71	2.56180779725673
93811	NC_006114.5	720000	730000	3.28	10.04	1.86631282395119
93822	NC_006114.5	730000	740000	4.11	11.72	1.76408354535907
94515	NC_006126.5	0	10000	0.45	9.39	4.6354495259426
94516	NC_006126.5	10000	20000	0.05	9.71	7.85372066515033
94517	NC_006126.5	100000	110000	1.73	8.8	2.59905276050644
94518	NC_006126.5	1000000	1010000	4.25	13.19	1.88623109284498
94519	NC_006126.5	1010000	1020000	0.79	7.84	3.56325037055661
94520	NC_006126.5	1020000	1030000	0.09	8.37	6.79148008572653
94521	NC_006126.5	1030000	1040000	0.36	7.02	4.53772349348075
94522	NC_006126.5	1040000	1050000	0.08	6.9	6.68277382628403
94523	NC_006126.5	1050000	1060000	0.31	7.74	4.89431472037603
94524	NC_006126.5	1060000	1070000	0.41	6.68	4.27847356247447
94525	NC_006126.5	1070000	1080000	0.27	7.59	5.0653898478705
94526	NC_006126.5	1080000	1090000	1.9	7.88	2.30451748574393
94527	NC_006126.5	1090000	1100000	1.29	7.84	2.85580386331045
94528	NC_006126.5	110000	120000	0.32	9.53	5.14865367852844
94529	NC_006126.5	1100000	1110000	0.48	8.58	4.41219261139689
94530	NC_006126.5	1110000	1120000	0.06	6.45	7.00051412420796
94531	NC_006126.5	1120000	1130000	0.79	8.07	3.60496538971918
94532	NC_006126.5	1130000	1140000	0.73	5.66	3.20715495857037
94533	NC_006126.5	1140000	1150000	1.72	10.38	2.84564724827428
94534	NC_006126.5	1150000	1160000	2.79	10.42	2.15333952506782
94535	NC_006126.5	1160000	1170000	1.43	8.17	2.76664220598579
94536	NC_006126.5	1170000	1180000	0.91	9.11	3.57583387822185
94537	NC_006126.5	1180000	1190000	0.22	9.83	5.73393726232178
94538	NC_006126.5	1190000	1200000	0.68	8.77	3.94129146581289
94539	NC_006126.5	120000	130000	1.64	11.47	3.05841894601624
94540	NC_006126.5	1200000	1210000	0.1	7.72	6.52285021699922
94541	NC_006126.5	1210000	1220000	2.75	7.9	1.77474230927094
94542	NC_006126.5	1220000	1230000	0.21	7.38	5.38748085790014
94543	NC_006126.5	1230000	1240000	0.64	7.34	3.77195752746171
94544	NC_006126.5	1240000	1250000	0.81	6.84	3.33032378661977
94546	NC_006126.5	1260000	1270000	0.57	7.44	3.95859007156179
94547	NC_006126.5	1270000	1280000	1.51	8.03	2.66317271281074
94548	NC_006126.5	1280000	1290000	0.06	7.35	7.18895921362107
94549	NC_006126.5	1290000	1300000	2.87	8.9	1.88507587379657
94550	NC_006126.5	130000	140000	0.11	8.06	6.44752568450917
94551	NC_006126.5	1300000	1310000	0.34	7.96	4.80148305391181
94552	NC_006126.5	1310000	1320000	0.77	6.76	3.38641417020578
94553	NC_006126.5	1320000	1330000	3.94	9.73	1.55656544994324
94555	NC_006126.5	1340000	1350000	0.92	7.42	3.26403469518229
94556	NC_006126.5	1350000	1360000	0.32	7.74	4.84851103076291
94557	NC_006126.5	1360000	1370000	0.63	7.65	3.8543572886986
94558	NC_006126.5	1370000	1380000	0.47	7.59	4.26568849835633
94559	NC_006126.5	1380000	1390000	0.92	8.98	3.53933095330263
94560	NC_006126.5	1390000	1400000	0.18	8.01	5.7280547055849
94561	NC_006126.5	140000	150000	0.26	7.33	5.06955094461122
94562	NC_006126.5	1400000	1410000	0.68	9.7	4.08669937044265
94563	NC_006126.5	1410000	1420000	0.21	8.1	5.52178194961173
94564	NC_006126.5	1420000	1430000	0.3	7.83	4.95829917630102
94565	NC_006126.5	1430000	1440000	0.18	7.54	5.64081698644485
94566	NC_006126.5	1440000	1450000	0.42	8.92	4.66090375176004
94567	NC_006126.5	1450000	1460000	0.07	7.7	7.03368098814316
94568	NC_006126.5	1460000	1470000	0.28	7.5	4.99571313794414
94569	NC_006126.5	1470000	1480000	0.59	8.19	4.04739786689767
94570	NC_006126.5	1480000	1490000	3.15	9.15	1.79074118940263
94571	NC_006126.5	1490000	1500000	0.63	7.71	3.86562840103362
94572	NC_006126.5	150000	160000	0.13	8.19	6.22960119811842
94573	NC_006126.5	1500000	1510000	0.08	8.09	6.91231716704848
94574	NC_006126.5	1510000	1520000	0.96	8.69	3.43057114071174
94575	NC_006126.5	1520000	1530000	0.22	8.6	5.54108250557066
94576	NC_006126.5	1530000	1540000	0.06	8.73	7.43719661752678
94577	NC_006126.5	1540000	1550000	0.05	8.56	7.67186016613229
94578	NC_006126.5	1550000	1560000	0.52	8.79	4.33160091162081
94579	NC_006126.5	1560000	1570000	0.45	7.86	4.37885368054743
94580	NC_006126.5	1570000	1580000	0.29	9.25	5.2476498348946
94581	NC_006126.5	1580000	1590000	0.8	9	3.74417437094817
94582	NC_006126.5	1590000	1600000	0.14	8.22	6.12796093624258
94583	NC_006126.5	160000	170000	0.33	8.7	4.97279874599614
94584	NC_006126.5	1600000	1610000	0.85	9.1	3.67265307356686
94585	NC_006126.5	1610000	1620000	1.95	8.59	2.39150528200735
94586	NC_006126.5	1620000	1630000	0.36	8.55	4.82217688294945
94588	NC_006126.5	1640000	1650000	1.4	10.68	3.18373418936109
94589	NC_006126.5	1650000	1660000	0.08	7.52	6.80691012629614
94590	NC_006126.5	1660000	1670000	0.18	7.88	5.70444809263256
94591	NC_006126.5	1670000	1680000	2.88	10.19	2.075334609342
94592	NC_006126.5	1680000	1690000	1.84	182.72	6.88610625392433
94593	NC_006126.5	1690000	1700000	0.07	6.91	6.87750825294915
94594	NC_006126.5	170000	180000	4.09	9	1.39014543289379
94595	NC_006126.5	1700000	1710000	0.44	7.79	4.39836917404287
94596	NC_006126.5	1710000	1720000	0.4	21.46	5.99782754048766
94597	NC_006126.5	1720000	1730000	0.82	7.79	3.50024878806209
94598	NC_006126.5	1730000	1740000	0.82	11.98	4.1211814627892
94599	NC_006126.5	1740000	1750000	0.52	9.11	4.38318880027946
94600	NC_006126.5	1750000	1760000	1.94	8.87	2.44519872673244
94601	NC_006126.5	1760000	1770000	0.19	7.78	5.60802010616111
94602	NC_006126.5	1770000	1780000	0.64	8.3	3.94928880085279
94603	NC_006126.5	1780000	1790000	1.83	8.46	2.46113528945441
94604	NC_006126.5	1790000	1800000	0.6	7.65	3.92474661659
94606	NC_006126.5	1800000	1810000	0.62	7.42	3.83340034085243
94607	NC_006126.5	1810000	1820000	0.59	5.95	3.58642408345196
94608	NC_006126.5	1820000	1830000	2.31	9.11	2.23187947700449
94609	NC_006126.5	1830000	1840000	0.39	24.49	6.22489611432023
94610	NC_006126.5	1840000	1850000	1.68	142.62	6.65989254050333
94611	NC_006126.5	1850000	1860000	0.1	23.4	8.12268599420191
94612	NC_006126.5	1860000	1870000	0.19	11.52	6.17431876261723
94613	NC_006126.5	1870000	1880000	0.37	20.51	6.0449796854694
94614	NC_006126.5	1880000	1890000	0.47	8.33	4.39990510830641
94615	NC_006126.5	1890000	1900000	0.23	12.21	5.98260680354889
94616	NC_006126.5	190000	200000	1.11	9.48	3.34664865716665
94617	NC_006126.5	1900000	1910000	0.13	4.86	5.47669406008319
94618	NC_006126.5	1910000	1920000	0.74	7.6	3.6127235173205
94619	NC_006126.5	1920000	1930000	0.97	13.94	4.0974232782998
94620	NC_006126.5	1930000	1940000	0.33	13	5.55222306317586
94621	NC_006126.5	1940000	1950000	0.08	8.16	6.92474661659
94622	NC_006126.5	1950000	1960000	0.31	8.06	4.95276099275959
94623	NC_006126.5	1960000	1970000	0.4	11.01	5.03499193329551
94624	NC_006126.5	1970000	1980000	0.12	7.08	6.13496432398034
94625	NC_006126.5	1980000	1990000	0.63	7.74	3.87123110726299
94626	NC_006126.5	1990000	2000000	0.93	8.33	3.41533514887602
94627	NC_006126.5	20000	30000	0.01	9.58	10.1562031203547
94628	NC_006126.5	200000	210000	0.29	8.79	5.17405963463433
94629	NC_006126.5	2000000	2010000	1.39	8.84	2.92128276128642
94630	NC_006126.5	2010000	2020000	1.26	7.77	2.87681213952629
94631	NC_006126.5	2020000	2030000	4.55	11.25	1.55830782563684
94635	NC_006126.5	2060000	2070000	0.72	7.69	3.66923606113801
94636	NC_006126.5	2070000	2080000	0.68	12.59	4.46292100108718
94637	NC_006126.5	2080000	2090000	0.21	7.94	5.4929990489827
94638	NC_006126.5	2090000	2100000	0.65	7.57	3.79410295157578
94639	NC_006126.5	210000	220000	0.08	7.96	6.88894589516215
94640	NC_006126.5	2100000	2110000	0.22	7.43	5.3301080565198
94641	NC_006126.5	2110000	2120000	1.17	8.38	3.09276298873445
94642	NC_006126.5	2120000	2130000	1.05	8.99	3.35025306246682
94643	NC_006126.5	2130000	2140000	3.06	8.2	1.67441353143129
94644	NC_006126.5	2140000	2150000	0.21	7.47	5.40496828462898
94645	NC_006126.5	2150000	2160000	0.83	9	3.69106303448861
94646	NC_006126.5	2160000	2170000	0.72	9.51	3.97569780403675
94647	NC_006126.5	2170000	2180000	0.07	8.91	7.24424797408282
94648	NC_006126.5	2180000	2190000	0.04	7.77	7.85409206302621
94649	NC_006126.5	2190000	2200000	0.28	8.85	5.23449999753126
94650	NC_006126.5	220000	230000	1.25	9.66	3.20241636879219
94651	NC_006126.5	2200000	2210000	0.8	8.79	3.71011253487454
94652	NC_006126.5	2210000	2220000	1.26	9.6	3.1819319467271
94653	NC_006126.5	2220000	2230000	2.67	9.35	2.06044789770595
94654	NC_006126.5	2230000	2240000	0.55	7.43	4.00817996163244
94655	NC_006126.5	2240000	2250000	0.48	8.08	4.32557025664914
94656	NC_006126.5	2250000	2260000	0.53	8.29	4.21962911155105
94657	NC_006126.5	2260000	2270000	1.86	8.1	2.37494056128246
94658	NC_006126.5	2270000	2280000	1.22	8.66	3.07980715178234
94659	NC_006126.5	2280000	2290000	0.15	6.96	5.78837417485871
94660	NC_006126.5	2290000	2300000	2.1	8.84	2.32597831634381
94661	NC_006126.5	230000	240000	0.12	4.49	5.47793040863849
94662	NC_006126.5	2300000	2310000	0.59	8.86	4.16084111381168
94663	NC_006126.5	2310000	2320000	2.29	8.41	2.1290794767767
94664	NC_006126.5	2320000	2330000	0.42	8.57	4.60315524595224
94665	NC_006126.5	2330000	2340000	0.12	8.19	6.34507841553835
94666	NC_006126.5	2340000	2350000	0.83	8.63	3.63049859245053
94667	NC_006126.5	2350000	2360000	0.23	7.91	5.35629320303428
94668	NC_006126.5	2360000	2370000	0.21	6.95	5.30087301945061
94669	NC_006126.5	2370000	2380000	0.2	7.08	5.39799872981414
94670	NC_006126.5	2380000	2390000	0.14	8.09	6.10496224499087
94671	NC_006126.5	2390000	2400000	0.54	9.85	4.44141368679877
94673	NC_006126.5	2400000	2410000	0.29	7.44	4.93349909059896
94674	NC_006126.5	2410000	2420000	0.85	8.35	3.54856272584221
94675	NC_006126.5	2420000	2430000	0.41	7.99	4.53682096292839
94676	NC_006126.5	2430000	2440000	5.39	11.2	1.30746282881096
94677	NC_006126.5	2440000	2450000	0.58	7.61	3.96609292299447
94678	NC_006126.5	2450000	2460000	0.75	10.59	4.07198945811496
94679	NC_006126.5	2460000	2470000	0.17	7.03	5.6222393124407
94680	NC_006126.5	2470000	2480000	2.04	9.58	2.48377777838318
94681	NC_006126.5	2480000	2490000	0.22	6.95	5.23375882359207
94682	NC_006126.5	2490000	2500000	0.44	11.24	4.92731597620213
94683	NC_006126.5	250000	260000	0.42	5.25	3.89617746439322
94684	NC_006126.5	2500000	2510000	0.86	8.03	3.47531269743372
94685	NC_006126.5	2510000	2520000	1.98	10.64	2.67824709004008
94686	NC_006126.5	2520000	2530000	1.01	9.2	3.43959984281108
94687	NC_006126.5	2530000	2540000	0.1	8.23	6.61514180015276
94688	NC_006126.5	2540000	2550000	0.06	7.69	7.25419856185917
94689	NC_006126.5	2550000	2560000	0.18	8.45	5.80520380434573
94690	NC_006126.5	2560000	2570000	0.3	7.48	4.89232513889762
94691	NC_006126.5	2570000	2580000	0.81	8.23	3.5972198921555
94692	NC_006126.5	2580000	2590000	0.26	7.63	5.12742080331194
94693	NC_006126.5	2590000	2600000	0.82	7.5	3.44551605538366
94694	NC_006126.5	260000	270000	1.7	9.4	2.7194472850458
94695	NC_006126.5	2600000	2610000	0.01	5.8	9.43223036463344
94696	NC_006126.5	2610000	2620000	0.05	6.38	7.24780579349601
94697	NC_006126.5	2620000	2630000	0.04	6.53	7.60326045616493
94698	NC_006126.5	2630000	2640000	0.05	7.14	7.41017344376024
94699	NC_006126.5	2640000	2650000	0.12	6.3	5.96656679228462
94700	NC_006126.5	2650000	2660000	0.05	8.43	7.64978200067322
94701	NC_006126.5	2660000	2670000	3.31	9.54	1.77947932381679
94702	NC_006126.5	2670000	2680000	0.04	6.99	7.70146991999394
94703	NC_006126.5	2680000	2690000	0.03	7.9	8.29306761696181
94704	NC_006126.5	2690000	2700000	0.17	7.76	5.76477127555529
94705	NC_006126.5	270000	280000	0.53	9.69	4.44475367547038
94706	NC_006126.5	2700000	2710000	0.54	7.62	4.07108095994835
94707	NC_006126.5	2710000	2720000	0.4	7.35	4.45199361945486
94708	NC_006126.5	2720000	2730000	1.74	8.8	2.59073749229443
94709	NC_006126.5	2730000	2740000	0.14	7.63	6.02050559939543
94710	NC_006126.5	2740000	2750000	0.97	7.94	3.28540362957433
94711	NC_006126.5	2750000	2760000	1.71	8.32	2.53490847787369
94712	NC_006126.5	2760000	2770000	0.78	5.9	3.17149020000546
94713	NC_006126.5	2770000	2780000	0.66	3.2	2.52985525014741
94714	NC_006126.5	2780000	2790000	0.11	7.47	6.33785408877044
94715	NC_006126.5	2790000	2800000	0.52	7.4	4.08326301699372
94716	NC_006126.5	280000	290000	0.15	8.85	6.13496432398034
94717	NC_006126.5	2800000	2810000	0.79	4.45	2.74620205229516
94718	NC_006126.5	2810000	2820000	0.44	4.74	3.68163290487946
94719	NC_006126.5	2820000	2830000	1.72	5.56	1.94499759263991
94720	NC_006126.5	2830000	2840000	0.26	7.85	5.1684304002564
94721	NC_006126.5	2840000	2850000	0.6	8.32	4.04587039715107
94722	NC_006126.5	2850000	2860000	2.04	8.7	2.3447675233831
94723	NC_006126.5	2860000	2870000	0.45	7.71	4.35105522820386
94724	NC_006126.5	2870000	2880000	1.04	8.64	3.30676905864088
94725	NC_006126.5	2880000	2890000	0.75	9.73	3.94979857890373
94726	NC_006126.5	2890000	2900000	0.13	7.29	6.06165656080435
94727	NC_006126.5	290000	300000	0.35	7.76	4.72295109986066
94728	NC_006126.5	2900000	2910000	0.19	6.9	5.43484631284045
94729	NC_006126.5	2910000	2920000	0.13	7.58	6.1179355946485
94730	NC_006126.5	2920000	2930000	0.07	7.62	7.01861354005422
94731	NC_006126.5	2930000	2940000	0.01	8.37	9.96140508716884
94732	NC_006126.5	2940000	2950000	1.69	8.38	2.56224827203567
94733	NC_006126.5	2950000	2960000	0.42	7.65	4.43931978941975
94734	NC_006126.5	2960000	2970000	3.38	13.93	2.29542138093757
94735	NC_006126.5	2970000	2980000	0.23	8.73	5.49859716219093
94736	NC_006126.5	2980000	2990000	0.24	6.3	4.96656679228462
94737	NC_006126.5	2990000	3000000	0.47	7.85	4.31428126671985
94738	NC_006126.5	30000	40000	0.18	7.96	5.71902089371984
94740	NC_006126.5	3000000	3010000	0.24	6.96	5.11030226974607
94741	NC_006126.5	3010000	3020000	0.24	8.04	5.31841046507627
94742	NC_006126.5	3020000	3030000	0.23	9.12	5.56164933272623
94743	NC_006126.5	3030000	3040000	0.23	7.91	5.35629320303428
94744	NC_006126.5	3040000	3050000	0.26	8.07	5.20830641975519
94745	NC_006126.5	3050000	3060000	0.29	7.69	4.98118006745275
94746	NC_006126.5	3060000	3070000	0.04	7.93	7.88349833032248
94747	NC_006126.5	3070000	3080000	0.04	7.13	7.73007954106239
94748	NC_006126.5	3080000	3090000	0.12	7.49	6.21618068235609
94749	NC_006126.5	3090000	3100000	0.09	7.97	6.72083218716666
94751	NC_006126.5	3100000	3110000	0.06	7.94	7.3003539710403
94752	NC_006126.5	3110000	3120000	0.14	8.2	6.12444645206634
94754	NC_006126.5	3130000	3140000	3.73	13.04	2.05801760859434
94755	NC_006126.5	3140000	3150000	5.22	9.88	1.17278250963329
94756	NC_006126.5	3150000	3160000	0.61	7.14	3.80136420108471
94757	NC_006126.5	3160000	3170000	0.31	8.28	4.99161192173095
94758	NC_006126.5	3170000	3180000	0.34	9	4.9786396245852
94759	NC_006126.5	3180000	3190000	0.06	8.38	7.3781652075967
94760	NC_006126.5	3190000	3200000	0.83	7.96	3.51390646381522
94761	NC_006126.5	320000	330000	0.74	9.24	3.89461695040561
94762	NC_006126.5	3200000	3210000	3.27	9.01	1.71455774493396
94763	NC_006126.5	3210000	3220000	0.35	8.93	4.92555462279476
94764	NC_006126.5	3220000	3230000	0.17	7.62	5.73850562086148
94765	NC_006126.5	3230000	3240000	0.06	7.27	7.17317032781694
94766	NC_006126.5	3240000	3250000	7.1	14.33	1.2654689544886
94767	NC_006126.5	3250000	3260000	0.03	8.28	8.36084573139667
94768	NC_006126.5	3260000	3270000	0.39	7.42	4.50219443237706
94769	NC_006126.5	3270000	3280000	2.86	8.49	1.82207068139315
94770	NC_006126.5	3280000	3290000	2.02	7.62	2.16775697936003
94771	NC_006126.5	3290000	3300000	0.41	7.08	4.36237482008341
94772	NC_006126.5	330000	340000	0.53	77.3	7.44065351886751
94773	NC_006126.5	3300000	3310000	0.15	7.32	5.86113051729402
94774	NC_006126.5	3310000	3320000	0.03	8.04	8.31841046507627
94775	NC_006126.5	3320000	3330000	0.92	9.11	3.56006656236354
94776	NC_006126.5	3330000	3340000	3.28	9.99	1.85911013779284
94777	NC_006126.5	3340000	3350000	6.13	11.08	1.10632017697691
94778	NC_006126.5	3350000	3360000	0.41	8.18	4.57072630294217
