chrom	start	end	mean.x	mean.y	fmnorm	fpropnorm
1771	NC_006088.5	115900000	115910000	4.01	5.23	0.635529984410521	0.608381932711888
1772	NC_006088.5	115910000	115920000	0.01	0.21	4.64463869739726	0.961558515428734
1801	NC_006088.5	116170000	116180000	10.45	10.59	0.271520921642592	0.546912598791011
2102	NC_006088.5	118890000	118900000	14.55	24.11	0.98093377242538	0.663723403982467
2598	NC_006088.5	123340000	123350000	20.18	23.05	0.444161850828844	0.576365153700481
2767	NC_006088.5	124870000	124880000	13.72	18.58	0.689791294828341	0.617305469953775
2768	NC_006088.5	124880000	124890000	66.46	73.18	0.391284397265556	0.567391818377805
2769	NC_006088.5	124890000	124900000	81.2	82.73	0.279252129360461	0.548240184322768
2782	NC_006088.5	12500000	12510000	22.41	27.51	0.548134765424318	0.593858165414018
2867	NC_006088.5	125770000	125780000	68.67	72.06	0.321839962768448	0.555540471916779
2868	NC_006088.5	125780000	125790000	33.39	35.27	0.331346756981637	0.557166945406967
2907	NC_006088.5	126120000	126130000	16.31	16.83	0.297599669236565	0.551388001908755
3035	NC_006088.5	127280000	127290000	15.64	15.98	0.283348170239125	0.548943270300334
3043	NC_006088.5	127350000	127360000	13.23	14.31	0.365531885066491	0.563005157416673
3114	NC_006088.5	1280000	1290000	3.66	4.19	0.44742787003381	0.576917814076798
3410	NC_006088.5	130650000	130660000	18.85	23.76	0.58629158726324	0.600221080238737
3662	NC_006088.5	132920000	132930000	17.17	18.58	0.366181736999019	0.563115976927288
3688	NC_006088.5	133150000	133160000	15.4	15.57	0.268159868115274	0.546335236952244
4033	NC_006088.5	136260000	136270000	4.12	4.64	0.423801742562854	0.572915654765861
4185	NC_006088.5	137630000	137640000	4.59	5.55	0.526314892442161	0.590205189684042
4577	NC_006088.5	141150000	141160000	4.61	5.24	0.437121335726612	0.575173142587679
4612	NC_006088.5	141470000	141480000	8.49	8.93	0.325216896186685	0.556118353998286
4756	NC_006088.5	142770000	142780000	19.62	26.15	0.666807179533565	0.613534884263172
4767	NC_006088.5	142870000	142880000	21.12	22.51	0.344277496714202	0.559377233235013
5632	NC_006088.5	150650000	150660000	20.13	20.5	0.278598012089969	0.548127887096118
5679	NC_006088.5	151070000	151080000	18.49	28.81	0.892145710374175	0.649851900195793
5694	NC_006088.5	151200000	151210000	17.55	21.97	0.576385113849853	0.59857226139276
5708	NC_006088.5	151330000	151340000	8.3	11.87	0.76845796802612	0.630102012779623
5709	NC_006088.5	151340000	151350000	7.63	12.09	0.916380557033093	0.653664575832253
5710	NC_006088.5	151350000	151360000	14.23	15.1	0.337934162304459	0.5582932377188
5739	NC_006088.5	151610000	151620000	15.31	16.99	0.402532844302933	0.569304600442267
5927	NC_006088.5	153300000	153310000	21.6	21.86	0.269583363239574	0.546579780278488
5943	NC_006088.5	153450000	153460000	18.51	20.61	0.407360884287182	0.570124971113263
6526	NC_006088.5	158700000	158710000	9.38	13.45	0.77226761954711	0.630717266314173
7031	NC_006088.5	163240000	163250000	7.37	8.52	0.461510085749269	0.57929851999558
7032	NC_006088.5	163250000	163260000	15.3	15.81	0.299626989396857	0.551735573734247
7047	NC_006088.5	163390000	163400000	15.82	16.51	0.313911795058967	0.554183166149386
7121	NC_006088.5	164050000	164060000	22.04	37.46	1.01754795029039	0.669364123357405
7312	NC_006088.5	165780000	165790000	19.85	26.55	0.671894128279696	0.61437059909236
7322	NC_006088.5	165870000	165880000	20.87	34.17	0.963620921887933	0.661039748835408
7334	NC_006088.5	165980000	165990000	19.25	19.49	0.270196919406764	0.546685176640846
7537	NC_006088.5	167800000	167810000	19	19.34	0.277909650877031	0.548009705662184
7679	NC_006088.5	169080000	169090000	14.23	14.68	0.297237580935231	0.551325918757953
7913	NC_006088.5	171180000	171190000	7.15	9.43	0.651635803627845	0.611038480604077
7914	NC_006088.5	171190000	171200000	1.74	5.92	2.01883114439872	0.80208026525065
7916	NC_006088.5	171200000	171210000	8.41	10.44	0.564265280933241	0.596552019898791
8017	NC_006088.5	172110000	172120000	17.37	78.93	2.43629726979515	0.844054777051026
8056	NC_006088.5	172470000	172480000	15.68	24.09	0.871830108741763	0.646640965092802
8121	NC_006088.5	173050000	173060000	18.22	18.54	0.277439559441981	0.547928994806961
8147	NC_006088.5	173290000	173300000	1.6	2.46	0.872907685070378	0.646811614715457
8149	NC_006088.5	173300000	173310000	0.79	3.47	2.38733237901966	0.839535052633424
8150	NC_006088.5	173310000	173320000	1.92	4.34	1.42891000634182	0.729175797800179
8151	NC_006088.5	173320000	173330000	0.41	0.79	1.19855001817752	0.696518048646922
8154	NC_006088.5	173350000	173360000	13.92	15.63	0.419479841769436	0.572182494116577
8414	NC_006088.5	17570000	17580000	17.67	18.6	0.326321856062277	0.556307408793804
8736	NC_006088.5	17860000	17870000	4.36	4.63	0.33900533310181	0.558476326521438
8769	NC_006088.5	17890000	17900000	2.58	2.83	0.385752262027129	0.566450345616391
8891	NC_006088.5	180000	190000	10.59	17.79	1.00068519589332	0.666772200889048
9332	NC_006088.5	183960000	183970000	15	15.22	0.273327132738802	0.547222817736806
9364	NC_006088.5	184240000	184250000	11.08	13.79	0.567985850083292	0.597172549269243
9365	NC_006088.5	184250000	184260000	17.69	18.5	0.316912497331716	0.55469698385261
9561	NC_006088.5	186010000	186020000	19.19	19.68	0.28869678376236	0.549861065998495
9562	NC_006088.5	186020000	186030000	20.47	24.7	0.52332121406713	0.589703215684491
9563	NC_006088.5	186030000	186040000	19.97	21.62	0.366853464909178	0.563230520334223
9723	NC_006088.5	187480000	187490000	15.21	16.18	0.341512729323981	0.558904838479553
9770	NC_006088.5	187900000	187910000	16.28	16.69	0.288204529714852	0.54977661171358
10002	NC_006088.5	190000	200000	10.29	17.77	1.04052197375321	0.672878886410221
10136	NC_006088.5	191190000	191200000	18.94	19.38	0.285453514565196	0.54930457709802
10455	NC_006088.5	194060000	194070000	28.53	47.49	0.987465283895118	0.664733122677889
10456	NC_006088.5	194070000	194080000	19.55	33.97	1.04941388530299	0.674234082671342
10457	NC_006088.5	194080000	194090000	0.08	27.35	8.66964639229842	0.997550309647204
10458	NC_006088.5	194090000	194100000	0.03	39.78	10.6251863347311	0.999367259954733
10460	NC_006088.5	194100000	194110000	0.06	22.44	8.79921573450614	0.997760256286334
10461	NC_006088.5	194110000	194120000	0	7.1	Inf	1
10462	NC_006088.5	194120000	194130000	0.01	12.8	10.5742493695059	0.99934453576402
10463	NC_006088.5	194130000	194140000	0	5.96	Inf	1
10464	NC_006088.5	194140000	194150000	3.85	7.97	1.30204255302671	0.711464444890065
10467	NC_006088.5	194170000	194180000	9.28	11.03	0.501557355082311	0.586048338215704
10468	NC_006088.5	194180000	194190000	29.16	47.62	0.959898175561897	0.660461325881181
10472	NC_006088.5	194210000	194220000	13.6	14.32	0.326746115745055	0.556379993822076
10473	NC_006088.5	194220000	194230000	24.04	39.72	0.976750001435689	0.663075839405412
10474	NC_006088.5	194230000	194240000	24.02	41.91	1.05537964504349	0.675141681986643
10631	NC_006088.5	195650000	195660000	9.43	9.54	0.269052769948915	0.546488631868956
10682	NC_006088.5	196100000	196110000	6.01	9.56	0.921966901888064	0.654540660723917
10683	NC_006088.5	196110000	196120000	6.2	6.91	0.408738769732521	0.57035902816822
10779	NC_006088.5	196990000	197000000	7.04	8.46	0.517403509101153	0.58871039778703
10782	NC_006088.5	197000000	197010000	3.33	4.55	0.702665642633297	0.619411409075343
10783	NC_006088.5	197010000	197020000	3.25	6	1.13684405719856	0.687401784920094
10785	NC_006088.5	197030000	197040000	5.15	5.61	0.375749613156712	0.564746855691644
10797	NC_006088.5	197140000	197150000	6.41	8.15	0.598796977118199	0.6022992163814
10807	NC_006088.5	197230000	197240000	19.17	21.3	0.40432436806355	0.569609057137803
10808	NC_006088.5	197240000	197250000	16.21	23.09	0.762705356875074	0.629172173054547
10823	NC_006088.5	197380000	197390000	3.63	3.79	0.314549574793841	0.554292384486463
10826	NC_006088.5	197400000	197410000	2.69	2.83	0.325517154893759	0.55616972883018
10828	NC_006088.5	197420000	197430000	8.26	11.69	0.753382517730711	0.627663216870282
10833	NC_006088.5	197470000	197480000	6.11	6.51	0.343806437965406	0.559296754587166
10846	NC_006088.5	197590000	197600000	74.49	82.37	0.39739350110255	0.568430915637651
10848	NC_006088.5	197600000	197608386	67.96	74.17	0.378471191111125	0.565210504136118
10875	NC_006088.5	200000	210000	12.5	16.37	0.641447501543205	0.60935874335091
11005	NC_006088.5	21160000	21170000	19.97	34.23	1.02974823418437	0.671233012970483
11006	NC_006088.5	21170000	21180000	21.1	34.3	0.953286852084127	0.659432908953765
11208	NC_006088.5	230000	240000	15.38	17.04	0.400191106882512	0.56890655986662
11225	NC_006088.5	23140000	23150000	16.26	17.44	0.353394057320399	0.560934144416809
11319	NC_006088.5	240000	250000	13.95	19.95	0.768444899011658	0.630099901422749
11430	NC_006088.5	250000	260000	11.16	23.63	1.33460387676316	0.716075431638901
11488	NC_006088.5	25510000	25520000	18.9	30.29	0.932776618305438	0.656232927036039
11586	NC_006088.5	2640000	2650000	11.34	12.37	0.377746134652641	0.565086994518154
11597	NC_006088.5	2650000	2660000	10.54	10.67	0.270006583805711	0.546652481336674
11796	NC_006088.5	28290000	28300000	10.67	12.9	0.526132164104692	0.590174555536243
11798	NC_006088.5	28300000	28310000	19.69	32.39	0.970406631512133	0.662092843586381
11799	NC_006088.5	28310000	28320000	17.25	20.98	0.534739590642874	0.591616814711866
11800	NC_006088.5	28320000	28330000	17.96	21.61	0.51923299673686	0.589017409868056
11874	NC_006088.5	290000	300000	7.19	9	0.576254505396239	0.598550508120776
12140	NC_006088.5	31380000	31390000	25.4	123.64	2.5355664318172	0.85289887631463
12252	NC_006088.5	32390000	32400000	20.88	22.69	0.372256171720953	0.564151546552552
12289	NC_006088.5	32720000	32730000	11.94	14.85	0.566981369041824	0.597005049016915
12290	NC_006088.5	32730000	32740000	13.93	15.14	0.372491222002979	0.564191606741179
12366	NC_006088.5	33410000	33420000	20.42	116.72	2.76731829165859	0.871932983245038
13173	NC_006088.5	40680000	40690000	17.77	18.08	0.27727227100501	0.547900272141922
13781	NC_006088.5	46150000	46160000	18.81	21.47	0.443143616954078	0.57619281382128
13782	NC_006088.5	46160000	46170000	19.81	25.63	0.623925873020591	0.606463914184843
13783	NC_006088.5	46170000	46180000	19.92	25.17	0.589808843711399	0.600805943462384
13969	NC_006088.5	47850000	47860000	11.49	11.61	0.267310448837954	0.546189303898722
14005	NC_006088.5	48170000	48180000	7.34	7.55	0.293017855987729	0.55060229321367
14291	NC_006088.5	50740000	50750000	12.11	12.35	0.280633451396211	0.548477310102242
14335	NC_006088.5	51130000	51140000	11.35	11.69	0.294903906971879	0.550925752010378
14401	NC_006088.5	51730000	51740000	12.58	12.75	0.271686599485431	0.546941055683054
14491	NC_006088.5	52540000	52550000	17.55	18.95	0.363048092485031	0.562581537397718
15498	NC_006088.5	61600000	61610000	13.52	14.06	0.308822717408851	0.553311486522821
15557	NC_006088.5	62130000	62140000	14.28	17.79	0.56939180585656	0.597406958578499
15558	NC_006088.5	62140000	62150000	4.71	12.72	1.68562098029007	0.762852688806897
15559	NC_006088.5	62150000	62160000	13.16	14.33	0.375200395145405	0.564653277064262
15599	NC_006088.5	62510000	62520000	12.46	13.89	0.409063805575891	0.570414236400429
15921	NC_006088.5	65410000	65420000	16.99	17.17	0.267525461436414	0.546226244528671
16096	NC_006088.5	670000	680000	4.9	5.85	0.507976150086696	0.587127272727273
16107	NC_006088.5	67090000	67100000	23.21	24.73	0.343836991663956	0.5593019746683
16207	NC_006088.5	680000	690000	4.25	4.77	0.418847699598948	0.572075231824914
16652	NC_006088.5	720000	730000	2.24	2.28	0.277856366725637	0.548000557335934
16718	NC_006088.5	72590000	72600000	16.11	17.03	0.332443215590474	0.557354455300633
16786	NC_006088.5	7320000	7330000	14.73	15.17	0.294784929829684	0.550905348633941
16845	NC_006088.5	73730000	73740000	14.85	18.13	0.54023726867453	0.592537181635576
16846	NC_006088.5	73740000	73750000	19.79	26.78	0.688705622895299	0.617127676907725
16847	NC_006088.5	73750000	73760000	18.54	23.14	0.572068895100459	0.597853175704843
16848	NC_006088.5	73760000	73770000	18.37	23.07	0.580987652190133	0.599338580974615
16849	NC_006088.5	73770000	73780000	17.05	22.83	0.673480394931667	0.614631063006862
16856	NC_006088.5	73830000	73840000	19.15	19.73	0.29536783852974	0.551005309942258
16970	NC_006088.5	74860000	74870000	10.04	14.36	0.76861775449078	0.630127826584659
16971	NC_006088.5	74870000	74880000	15.76	17.37	0.392651493872517	0.567624399626803
17090	NC_006088.5	75940000	75950000	8.15	8.55	0.32144563527332	0.555472982288595
17109	NC_006088.5	76100000	76110000	0.02	0.09	2.42224627606081	0.842768514928267
17128	NC_006088.5	76280000	76290000	3.16	3.83	0.529741108366354	0.590779460091273
17129	NC_006088.5	76290000	76300000	2.13	4.05	1.17938975216465	0.693703421972328
17132	NC_006088.5	76310000	76320000	0.77	1.07	0.727001720324746	0.623379913032465
17318	NC_006088.5	780000	790000	8.93	9.94	0.406906951059564	0.570047856036504
17373	NC_006088.5	78490000	78500000	5.16	5.35	0.304489100483755	0.552568946824821
17376	NC_006088.5	78510000	78520000	7.06	8.35	0.494429288708735	0.584849214313474
17377	NC_006088.5	78520000	78530000	8.56	10.21	0.506621439095155	0.586899628801394
17378	NC_006088.5	78530000	78540000	4.48	5.76	0.614891354003208	0.604968339016074
17416	NC_006088.5	78880000	78890000	5.35	6.18	0.460389221234365	0.57910916281637
17419	NC_006088.5	78900000	78910000	10.35	12.92	0.572296576925738	0.597891118236208
17426	NC_006088.5	78970000	78980000	9	10.7	0.501935164689972	0.586111867174741
17431	NC_006088.5	79000000	79010000	18.88	20.27	0.354808598723558	0.561175610804614
17454	NC_006088.5	79210000	79220000	0.05	0.06	0.515355680452294	0.588366663282915
17455	NC_006088.5	79220000	79230000	4.97	5.51	0.401127741627372	0.569065776573691
17456	NC_006088.5	79230000	79240000	8.03	9.79	0.538230146704881	0.592201243998705
17457	NC_006088.5	79240000	79250000	12.93	16.18	0.575810607238224	0.598476572506396
17458	NC_006088.5	79250000	79260000	7.59	8.6	0.432558048792494	0.574400076332236
17459	NC_006088.5	79260000	79270000	2.92	4.23	0.787010568858433	0.633094216258928
17460	NC_006088.5	79270000	79280000	8.3	9.2	0.400843799328588	0.569017511284694
17461	NC_006088.5	79280000	79290000	19.05	24.35	0.60645204920752	0.603569517841816
17462	NC_006088.5	79290000	79300000	17.23	22.78	0.655166320101664	0.611619941738252
17464	NC_006088.5	79300000	79310000	16.73	19.54	0.476314296548533	0.581797312079675
17484	NC_006088.5	79490000	79500000	4	4.32	0.363352587007244	0.562633474987596
17703	NC_006088.5	81450000	81460000	11.35	11.92	0.323013212902385	0.555741262970226
17763	NC_006088.5	820000	830000	7.24	10.04	0.724018941486066	0.622894385971222
17982	NC_006088.5	83970000	83980000	22.1	23.5	0.340935661792068	0.558806225861004
17988	NC_006088.5	84010000	84020000	6.59	6.71	0.278355575810632	0.548086264993003
17989	NC_006088.5	84020000	84030000	4.7	8.25	1.06405463718668	0.676459104335721
17990	NC_006088.5	84030000	84040000	9.44	11.11	0.487321326645751	0.583652470891501
17991	NC_006088.5	84040000	84050000	8.43	10.94	0.628329476468975	0.607192166285449
17992	NC_006088.5	84050000	84060000	5.52	7.19	0.633644778279629	0.608070556965084
17993	NC_006088.5	84060000	84070000	27.71	29.32	0.333799667270895	0.557586405052531
17994	NC_006088.5	84070000	84080000	15.53	18.28	0.487529515289269	0.583687537000084
17996	NC_006088.5	84090000	84100000	10.72	11.69	0.377291298692384	0.565009511439244
17998	NC_006088.5	84100000	84110000	1.5	13.43	3.41474617355006	0.914269888117447
17999	NC_006088.5	84110000	84120000	0.06	35.43	9.45811452401566	0.998580266580771
18000	NC_006088.5	84120000	84130000	0.07	26.46	8.81456369883957	0.997783904754358
18001	NC_006088.5	84130000	84140000	0.07	15.74	8.06518617806838	0.996280208968779
18002	NC_006088.5	84140000	84150000	0	2.82	Inf	1
18003	NC_006088.5	84150000	84160000	0.03	3.01	6.90097845065705	0.991701881657168
18015	NC_006088.5	84260000	84270000	17.28	33.64	1.21339576271018	0.698688807129257
18016	NC_006088.5	84270000	84280000	27	31.18	0.459982795378092	0.579040496085117
18207	NC_006088.5	860000	870000	9.02	11.8	0.639908795612323	0.609104831564784
18488	NC_006088.5	88520000	88530000	13.81	14.29	0.301613871456266	0.552076163661487
18503	NC_006088.5	88660000	88670000	1.93	4.76	1.55468200065836	0.746043979044
18504	NC_006088.5	88670000	88680000	0.81	1.01	0.57068275448567	0.597622154027086
18524	NC_006088.5	88850000	88860000	28.98	31.41	0.368487622713536	0.563509149623251
18751	NC_006088.5	90890000	90900000	16.9	17.84	0.330413643369258	0.557007356976587
18753	NC_006088.5	90900000	90910000	15.9	17.69	0.406228557137241	0.569932602796744
18760	NC_006088.5	90970000	90980000	27.09	28.17	0.308720444791417	0.553293965439943
18761	NC_006088.5	90980000	90990000	13.89	24.52	1.07223365432789	0.677698648197439
20372	NC_006089.5	105460000	105470000	48.14	56.05	0.471799505836793	0.581035702420024
20905	NC_006089.5	110250000	110260000	4.34	7.02	0.946097262478582	0.658312833824868
20956	NC_006089.5	110710000	110720000	16.53	18.42	0.408507611417522	0.570319764227369
20979	NC_006089.5	110920000	110930000	16.63	17.11	0.293372865820645	0.550663180876083
21074	NC_006089.5	111780000	111790000	15.49	15.95	0.294540554481164	0.550863440196295
22729	NC_006089.5	126680000	126690000	6.29	6.36	0.268288023023566	0.54635725370055
22844	NC_006089.5	127710000	127720000	6.99	7.18	0.291012663066115	0.550258354575292
24139	NC_006089.5	139370000	139380000	17.61	17.84	0.271041980707597	0.546830333982228
24423	NC_006089.5	141920000	141930000	18.83	19.15	0.276632666816592	0.547790452066522
25223	NC_006089.5	149120000	149130000	12.32	12.73	0.299551437824957	0.551722621776954
25263	NC_006089.5	149490000	149500000	9.97	10.58	0.33799549233433	0.55830372092134
25269	NC_006089.5	149540000	149550000	4.51	4.94	0.383704882947797	0.56610179544821
25341	NC_006089.5	15470000	15480000	17.62	17.8	0.266984591551847	0.546133318426584
25364	NC_006089.5	15680000	15690000	9.63	9.75	0.270187695412014	0.546683592178742
26066	NC_006089.5	220000	230000	6.68	7.28	0.376411622343144	0.564859646135409
26338	NC_006089.5	24440000	24450000	3.08	3.19	0.302947347688468	0.552304719845432
26510	NC_006089.5	260000	270000	9.94	10.05	0.268199019122505	0.546341963033579
26621	NC_006089.5	270000	280000	3.9	3.98	0.281615581412538	0.548645894873837
26955	NC_006089.5	300000	310000	4.24	4.79	0.428282665791481	0.573675453582914
27065	NC_006089.5	30990000	31000000	11.43	11.85	0.304382930189644	0.552550752214504
27066	NC_006089.5	310000	320000	1.6	2.45	0.867031118733709	0.645880522882952
27068	NC_006089.5	31000000	31010000	10.64	10.86	0.281847226921672	0.548685655707696
27072	NC_006089.5	31040000	31050000	5.54	6.5	0.482875016485129	0.582903358169466
27073	NC_006089.5	31050000	31060000	5.07	5.14	0.272103886809038	0.547012727759471
27077	NC_006089.5	31090000	31100000	1.3	1.33	0.285235897091235	0.549267233271201
27079	NC_006089.5	31100000	31110000	1.89	2.1	0.40432436806355	0.569609057137803
27080	NC_006089.5	31110000	31120000	9.39	9.48	0.266083175862985	0.545978440312002
27247	NC_006089.5	32620000	32630000	7.57	8	0.332027974407493	0.557283445119335
27250	NC_006089.5	32650000	32660000	7.82	8.14	0.310181461577395	0.553544250510022
27288	NC_006089.5	330000	340000	1.54	1.57	0.280155482815226	0.548395261719145
27592	NC_006089.5	35730000	35740000	33.13	33.94	0.287169636080149	0.549599049325222
27732	NC_006089.5	370000	380000	2.67	3.15	0.490833361318225	0.584243904405878
27954	NC_006089.5	390000	400000	4.33	4.74	0.382841308790035	0.565954759117826
28021	NC_006089.5	3960000	3970000	6.61	7.3	0.395567466878188	0.568120388221238
28066	NC_006089.5	400000	410000	5.51	5.71	0.303759701410186	0.55244394544728
28131	NC_006089.5	40580000	40590000	13.93	21.22	0.859550672932012	0.644693709064891
28132	NC_006089.5	40590000	40600000	14.65	22.86	0.894246013523368	0.650183091404965
28134	NC_006089.5	40600000	40610000	13.17	18.71	0.75887548760277	0.628552589434851
28177	NC_006089.5	410000	420000	5.66	6.13	0.367406295477399	0.563324784243291
28288	NC_006089.5	420000	430000	6.38	6.78	0.340050123989975	0.558654891049382
28399	NC_006089.5	430000	440000	6.82	8.37	0.547777158144671	0.593798379018304
28510	NC_006089.5	440000	450000	5.29	6.17	0.474324041653893	0.581461619583997
28732	NC_006089.5	460000	470000	3.8	4.26	0.417175286513391	0.571791423045286
28850	NC_006089.5	47050000	47060000	16.32	16.71	0.286391950708193	0.549465609254467
28884	NC_006089.5	47360000	47370000	24.48	78.99	1.94238773869307	0.793533991377906
29065	NC_006089.5	490000	500000	4.29	4.71	0.387070686731738	0.566674762269509
29083	NC_006089.5	49150000	49160000	21.33	46.26	1.36920257491412	0.7209258767211
29369	NC_006089.5	51720000	51730000	19.97	20.58	0.295729924068496	0.551067400858467
29370	NC_006089.5	51730000	51740000	18.91	23.77	0.582313814611173	0.599559296179444
29371	NC_006089.5	51740000	51750000	18.68	24.38	0.63652494552905	0.608546232922728
29372	NC_006089.5	51750000	51760000	19.65	20.32	0.300692364244697	0.551918205597764
29400	NC_006089.5	5200000	5210000	16.88	17.73	0.323198906810004	0.555773041120997
29661	NC_006089.5	54350000	54360000	15.05	15.35	0.280796443228977	0.548505288778985
29729	NC_006089.5	54970000	54980000	20.07	22.26	0.401734250597843	0.569168868232419
29955	NC_006089.5	5700000	5710000	20.42	51.8	1.59529050631461	0.751339876533459
30034	NC_006089.5	57710000	57720000	11.93	12.78	0.351615067870267	0.560630424722909
30035	NC_006089.5	57720000	57730000	16.36	23.87	0.797347092758528	0.634756890171826
30036	NC_006089.5	57730000	57740000	15.58	19.7	0.59082167090057	0.600974307118329
30176	NC_006089.5	590000	600000	2.05	2.58	0.584068430536309	0.59985125745217
30229	NC_006089.5	59470000	59480000	12.85	16.58	0.61999692203301	0.605813758646293
30230	NC_006089.5	59480000	59490000	7.77	8.56	0.392017472611937	0.567516538633383
30231	NC_006089.5	59490000	59500000	13.27	14.9	0.419465234597831	0.572180015638808
30233	NC_006089.5	59500000	59510000	10.53	11.15	0.334859548400451	0.557767624527918
30234	NC_006089.5	59510000	59520000	12.05	15.27	0.593988190298028	0.601500527863829
30235	NC_006089.5	59520000	59530000	11.84	14.55	0.549671346785197	0.594115026329872
30236	NC_006089.5	59530000	59540000	12.03	14.6	0.531653001209804	0.591099806244193
30237	NC_006089.5	59540000	59550000	11.21	12.33	0.389707796215913	0.567123557703067
30653	NC_006089.5	63280000	63290000	6.34	6.79	0.351250008723825	0.560568094023697
30858	NC_006089.5	65120000	65130000	10.82	144.46	3.99121894583284	0.940838592000803
31198	NC_006089.5	68190000	68200000	14.32	15.05	0.324053269001308	0.555919243861422
31289	NC_006089.5	69000000	69010000	36.56	41.38	0.43098884942044	0.574134154055456
31662	NC_006089.5	72360000	72370000	0.44	0.47	0.34747850765884	0.559924031275436
31895	NC_006089.5	74460000	74470000	11.97	12.21	0.280961322662402	0.548533591163458
31918	NC_006089.5	74670000	74680000	23.12	46.62	1.26412888124669	0.706039829904222
31960	NC_006089.5	75040000	75050000	16.37	18.39	0.420188432556285	0.572302720193191
32101	NC_006089.5	76310000	76320000	13.85	17.04	0.551360633907788	0.594397354709622
32103	NC_006089.5	76330000	76340000	14.4	20.88	0.78837417485871	0.633313740561559
32182	NC_006089.5	77040000	77050000	15.23	18.33	0.519612118671093	0.589081022851917
32185	NC_006089.5	77070000	77080000	13.26	18	0.693237405722949	0.617869607765798
32407	NC_006089.5	79070000	79080000	30.61	34.45	0.422822212683163	0.572749516766744
32408	NC_006089.5	79080000	79090000	30.01	33.43	0.408021310637615	0.570237159573234
32409	NC_006089.5	79090000	79100000	28.5	31.18	0.381980283376819	0.565808145190104
32414	NC_006089.5	79130000	79140000	3.73	4.07	0.37817443862951	0.565159954863332
32454	NC_006089.5	7950000	7960000	9.48	10.22	0.360757506657862	0.562190788574552
32550	NC_006089.5	80350000	80360000	14.08	14.22	0.266595405600618	0.546066450940951
32603	NC_006089.5	80830000	80840000	18.18	19.05	0.319760072805078	0.555184473189752
32604	NC_006089.5	80840000	80850000	24.8	27.91	0.42276327841033	0.572739520404743
33036	NC_006089.5	84730000	84740000	18.18	21.33	0.482853040764965	0.582899654754509
33228	NC_006089.5	86460000	86470000	19.68	50.31	1.60643624356476	0.752780439387026
33229	NC_006089.5	86470000	86480000	21.35	22.75	0.343951750084068	0.559321580958659
33638	NC_006089.5	90140000	90150000	13.73	14.58	0.338980368798337	0.558472059703457
33881	NC_006089.5	92330000	92340000	19.1	19.32	0.268843730531162	0.546452721002588
34047	NC_006089.5	93830000	93840000	15.63	16.66	0.344391896984383	0.559396777627966
34359	NC_006089.5	96640000	96650000	11.61	11.86	0.283057312298938	0.548893350906721
34736	NC_006090.5	100000000	100010000	37.3	40.98	0.388065628487147	0.566844098928676
34805	NC_006090.5	100630000	100640000	23.21	67.16	1.78517698221105	0.775109447601293
34808	NC_006090.5	100660000	100670000	21.99	49.03	1.40913843204922	0.726460948201961
34842	NC_006090.5	100970000	100980000	20.66	21.63	0.31851468571542	0.554971282746487
34942	NC_006090.5	101870000	101880000	18.1	18.37	0.273683203759282	0.547283969045648
35039	NC_006090.5	102740000	102750000	31.45	37.2	0.494563878847243	0.584871865191325
35040	NC_006090.5	102750000	102760000	27.31	31.81	0.472372332392727	0.581132355224506
35228	NC_006090.5	104440000	104450000	6.81	6.98	0.287893512816081	0.549723250165708
