pseudohaplotype1_scaffold	length	start	end	strand	chrom	length	start	end	seq_identity
369481	9197	0	9196	+	scaffold-Z	113984505	113419022	113428886	99.1424
390711	15116	0	15115	-	scaffold-Z	113984505	113403608	113418670	97.8585
391205	40695	0	40694	+	scaffold-Z	113984505	113359471	113400836	99.3994
376202	25930	15000	25929	-	scaffold-Z	113984505	113352386	113359163	95.1118
389130	30404	0	9999	-	scaffold-Z	113984505	113328397	113337815	99.3027
392185	14623	0	14622	-	scaffold-Z	113984505	113310918	113326203	99.2772
361136	7510	0	7509	+	scaffold-Z	113984505	113302480	113309038	99.0331
361500	5935	0	5934	-	scaffold-Z	113984505	113282410	113288260	99.3192
365912	6525	0	6524	+	scaffold-Z	113984505	113274347	113281120	99.7625
372434	19576	0	19575	-	scaffold-Z	113984505	113237090	113254744	98.6809
362422	22603	5000	22602	+	scaffold-Z	113984505	113218878	113237210	99.693
386486	14873	0	14872	-	scaffold-Z	113984505	113205577	113219647	98.5313
368887	22506	0	22505	-	scaffold-Z	113984505	113180507	113203148	99.8225
373533	17881	0	17880	+	scaffold-Z	113984505	113158905	113177336	99.2878
357668	5000	0	4999	-	scaffold-Z	113984505	113153048	113158047	99.1056
370290	15959	0	15958	+	scaffold-Z	113984505	113136587	113152610	99.129
374819	10706	0	10705	-	scaffold-Z	113984505	113127086	113136638	98.5269
384234	64047	50000	64046	+	scaffold-Z	113984505	113091037	113106122	98.4687
591	18077	0	18076	-	scaffold-Z	113984505	113004237	113022081	97.893
371486	8725	0	8724	-	scaffold-Z	113984505	112988116	112996094	96.0189
361981	9462	0	9461	+	scaffold-Z	113984505	112980997	112988567	97.4868
363221	8158	0	8157	-	scaffold-Z	113984505	112975790	112982165	97.2188
388500	19873	0	19872	+	scaffold-Z	113984505	112951035	112971892	97.734
363084	20113	0	19999	-	scaffold-Z	113984505	112928967	112946791	97.7738
386289	16270	0	16269	-	scaffold-Z	113984505	112906910	112921199	98.0238
369887	48314	0	48313	-	scaffold-Z	113984505	112860657	112906751	97.4675
298364	7676	0	7675	+	scaffold-Z	113984505	112850756	112857605	98.5805
386826	24946	15000	24945	+	scaffold-Z	113984505	112839713	112849908	97.8339
384382	8866	0	8865	+	scaffold-Z	113984505	112820894	112829262	98.8019
350630	9411	0	9410	+	scaffold-Z	113984505	112812147	112818658	95.6213
375866	47831	0	47830	+	scaffold-Z	113984505	112759113	112806912	98.3817
248419	6505	0	6504	-	scaffold-Z	113984505	112753322	112759615	96.0851
302620	8095	0	8094	-	scaffold-Z	113984505	112740037	112748753	99.6593
501	12130	0	12129	-	scaffold-Z	113984505	112729643	112740438	96.5813
391667	8697	0	8696	-	scaffold-Z	113984505	112722147	112737595	93.9753
378286	32677	0	32676	-	scaffold-Z	113984505	112673036	112710597	96.9572
310536	10067	0	10066	+	scaffold-Z	113984505	112656699	112675347	97.9165
276299	18344	0	4999	-	scaffold-Z	113984505	112647714	112652713	93.6775
342556	14110	0	9999	+	scaffold-Z	113984505	112639564	112647015	97.6718
310574	7865	0	7864	-	scaffold-Z	113984505	112620831	112634869	96.3927
350776	30890	0	30889	-	scaffold-Z	113984505	112574319	112605467	98.8353
365659	21595	5000	9999	-	scaffold-Z	113984505	112553548	112558547	96.3761
389943	5901	901	5900	-	scaffold-Z	113984505	112545255	112550254	93.3997
253716	5716	0	5715	+	scaffold-Z	113984505	112539309	112544902	96.216
392874	7004	0	7003	-	scaffold-Z	113984505	112531985	112538905	96.1553
375927	16121	0	16120	-	scaffold-Z	113984505	112508121	112524213	98.142
254000	7003	0	7002	+	scaffold-Z	113984505	112497507	112503750	98.014
385738	48898	0	48897	-	scaffold-Z	113984505	112452047	112496814	98.8057
357926	8618	0	8617	-	scaffold-Z	113984505	112439396	112448117	98.8555
297558	13805	5000	9999	+	scaffold-Z	113984505	112432026	112437025	97.0192
384089	58036	0	29999	-	scaffold-Z	113984505	112396224	112431182	97.7738
306836	9167	0	9166	-	scaffold-Z	113984505	112356551	112363914	95.1035
342256	7596	0	7595	-	scaffold-Z	113984505	112344478	112351829	99.5597
384205	25875	20875	25874	+	scaffold-Z	113984505	112340677	112345676	97.7318
354884	5138	0	5137	+	scaffold-Z	113984505	112331270	112336269	98.0744
378107	22325	0	22324	-	scaffold-Z	113984505	112274957	112303327	99.1623
391032	14461	0	14460	+	scaffold-Z	113984505	112252812	112267073	97.2566
358097	9587	0	9586	-	scaffold-Z	113984505	112243004	112253124	98.0125
328820	6744	0	6743	-	scaffold-Z	113984505	112237203	112243281	99.4762
382420	43339	0	39999	+	scaffold-Z	113984505	112193775	112235356	97.6063
378126	27411	15000	19999	-	scaffold-Z	113984505	112180158	112185157	98.9559
382417	10641	0	4999	+	scaffold-Z	113984505	112163781	112168780	98.0097
415324	5465	0	5464	+	scaffold-Z	113984505	112150865	112155864	98.09
373267	20892	5000	20891	-	scaffold-Z	113984505	112129311	112143724	96.052
371191	14491	0	14490	-	scaffold-Z	113984505	112114628	112130128	98.8066
372973	10528	0	4999	+	scaffold-Z	113984505	112110902	112115901	94.2732
372691	5740	0	5739	-	scaffold-Z	113984505	112102248	112107960	95.9971
342518	10956	0	9999	-	scaffold-Z	113984505	112097812	112106722	96.0324
247938	5081	0	4999	-	scaffold-Z	113984505	112084872	112089871	99.4399
355467	25625	0	24999	+	scaffold-Z	113984505	112044282	112066510	96.9689
387508	41091	0	41090	-	scaffold-Z	113984505	112002159	112040564	96.5406
359637	6721	0	4999	+	scaffold-Z	113984505	111999675	112004674	93.3997
389264	22026	5000	22025	+	scaffold-Z	113984505	111976956	111995300	98.1372
449080	17996	5000	17995	+	scaffold-Z	113984505	111949797	111962597	97.3689
331993	5535	0	5534	-	scaffold-Z	113984505	111939576	111945086	99.5305
381201	21589	0	21588	+	scaffold-Z	113984505	111894472	111919062	98.1154
389102	18814	0	4999	-	scaffold-Z	113984505	111889286	111894285	95.9338
317136	8276	0	8275	-	scaffold-Z	113984505	111881323	111888796	96.051
366851	35293	10000	14999	+	scaffold-Z	113984505	111880431	111885430	94.2732
390007	52141	0	34999	-	scaffold-Z	113984505	111844368	111879480	96.8626
368315	10355	5000	10354	-	scaffold-Z	113984505	111836555	111841997	96.155
357820	14309	0	14308	+	scaffold-Z	113984505	111823381	111835516	96.52
389118	28188	0	28187	+	scaffold-Z	113984505	111798574	111825887	97.9551
392896	58311	15000	58310	+	scaffold-Z	113984505	111753909	111796291	98.0989
361365	7192	0	7191	-	scaffold-Z	113984505	111723301	111730533	98.7992
380845	19630	0	19629	+	scaffold-Z	113984505	111699997	111720843	99.0157
370399	18189	0	18188	+	scaffold-Z	113984505	111679169	111698045	99.0659
391404	36266	20000	34999	-	scaffold-Z	113984505	111667987	111678872	96.0994
386182	5376	0	5375	+	scaffold-Z	113984505	111658209	111663208	94.7084
370988	38817	0	34999	-	scaffold-Z	113984505	111615737	111652314	97.7999
297222	5886	886	5885	-	scaffold-Z	113984505	111608291	111613290	97.0981
332903	7109	2109	7108	-	scaffold-Z	113984505	111594019	111599018	95.4127
367689	19738	10000	14999	+	scaffold-Z	113984505	111582650	111587649	96.7297
375530	6967	0	6966	-	scaffold-Z	113984505	111567520	111574788	99.9298
300218	8593	0	8592	+	scaffold-Z	113984505	111546510	111558015	98.155
364541	17759	0	17758	+	scaffold-Z	113984505	111533306	111546699	97.409
359761	6179	0	4999	-	scaffold-Z	113984505	111515182	111520181	95.6678
419499	9208	4208	9207	-	scaffold-Z	113984505	111506086	111511085	97.7017
419498	9219	4219	9218	-	scaffold-Z	113984505	111504915	111509914	98.202
419500	9113	0	9112	-	scaffold-Z	113984505	111496984	111506811	98.1833
419501	9205	0	9204	-	scaffold-Z	113984505	111495887	111506066	98.5602
359124	8259	0	4999	-	scaffold-Z	113984505	111486052	111491051	94.7044
309608	6525	0	6524	+	scaffold-Z	113984505	111473033	111480594	98.7194
379568	10708	0	10707	-	scaffold-Z	113984505	111461460	111472044	99.2094
378119	14092	0	14091	+	scaffold-Z	113984505	111444941	111460113	98.9738
379959	5009	0	5008	+	scaffold-Z	113984505	111435852	111440851	96.131
314823	6454	0	6453	-	scaffold-Z	113984505	111419354	111425470	95.1826
379097	8906	0	8905	-	scaffold-Z	113984505	111400317	111418749	93.7034
196090	7620	2620	7619	+	scaffold-Z	113984505	111393834	111398833	93.9682
317854	5758	0	5757	-	scaffold-Z	113984505	111385541	111390967	98.9283
378340	5648	0	5647	-	scaffold-Z	113984505	111380596	111385845	98.9369
352538	9285	0	9284	+	scaffold-Z	113984505	111372758	111380753	98.9051
352983	5399	0	5398	+	scaffold-Z	113984505	111367556	111372942	99.2421
386665	29108	20000	29107	+	scaffold-Z	113984505	111358502	111368687	98.0852
315969	7617	0	7616	-	scaffold-Z	113984505	111325159	111333339	99.0511
376457	13195	8195	13194	+	scaffold-Z	113984505	111297819	111302818	96.3761
385824	13918	0	13917	+	scaffold-Z	113984505	111282623	111297408	98.6779
357895	5631	0	5630	+	scaffold-Z	113984505	111278040	111283289	92.9647
348333	12980	7980	12979	+	scaffold-Z	113984505	111248610	111253609	94.2732
386322	12446	0	9999	-	scaffold-Z	113984505	111236865	111246862	97.2327
362505	11884	6884	11883	-	scaffold-Z	113984505	111225139	111230138	92.7958
376623	7530	0	7529	-	scaffold-Z	113984505	111214684	111225720	95.1544
362170	8247	0	8246	+	scaffold-Z	113984505	111179590	111188631	98.859
326801	10570	0	10569	-	scaffold-Z	113984505	111165481	111176597	98.7512
381232	5887	0	5886	+	scaffold-Z	113984505	111145689	111150688	98.0356
369985	6184	0	6183	+	scaffold-Z	113984505	111140850	111146395	97.5016
350691	8205	0	8204	+	scaffold-Z	113984505	111115891	111123884	98.2195
358763	6191	1191	6190	-	scaffold-Z	113984505	111099685	111104684	95.3629
347462	5759	0	5758	-	scaffold-Z	113984505	111069185	111074816	94.5144
389409	18319	0	4999	+	scaffold-Z	113984505	111049696	111054695	98.7023
332862	5499	0	5498	+	scaffold-Z	113984505	111037479	111042478	97.6814
366736	6934	0	6933	+	scaffold-Z	113984505	111029050	111036745	98.3989
328551	7105	0	7104	+	scaffold-Z	113984505	111020177	111026280	95.629
330558	6141	0	6140	+	scaffold-Z	113984505	111014185	111020108	98.7112
360028	5404	0	4999	-	scaffold-Z	113984505	111008399	111013398	97.897
350342	8991	0	8990	-	scaffold-Z	113984505	110995673	111004930	98.1632
348947	6545	0	6544	-	scaffold-Z	113984505	110977076	110983802	97.0698
368867	8810	0	8809	-	scaffold-Z	113984505	110965301	110973373	97.0889
370478	10430	0	10429	+	scaffold-Z	113984505	110942750	110953599	97.6186
368310	6868	0	6867	-	scaffold-Z	113984505	110933418	110940040	98.1236
360851	6645	0	6644	+	scaffold-Z	113984505	110919395	110924851	99.1887
283312	10574	0	10573	+	scaffold-Z	113984505	110889315	110899415	99.2512
355832	19228	0	19227	+	scaffold-Z	113984505	110859334	110878104	99.5824
380469	15618	0	15617	-	scaffold-Z	113984505	110837355	110853539	97.6765
371630	79468	5000	74999	-	scaffold-Z	113984505	110775875	110838835	97.8538
317467	8864	0	8863	-	scaffold-Z	113984505	110768914	110776061	96.7271
389075	37037	0	24999	+	scaffold-Z	113984505	110723087	110748069	96.8919
375619	76066	0	69999	+	scaffold-Z	113984505	110648322	110720348	98.0866
375984	44462	0	44461	-	scaffold-Z	113984505	110598566	110646330	99.2213
364201	9066	0	9065	+	scaffold-Z	113984505	110589665	110597526	98.5096
284405	8012	3012	8011	+	scaffold-Z	113984505	110586235	110591234	96.3761
380906	72264	0	69999	+	scaffold-Z	113984505	110528318	110589348	97.6285
613	17801	0	4999	+	scaffold-Z	113984505	110516182	110521181	97.8231
390271	9310	4310	9309	-	scaffold-Z	113984505	110512694	110517693	94.0281
391913	14429	0	14428	+	scaffold-Z	113984505	110475319	110489769	97.9814
365309	7458	0	7457	-	scaffold-Z	113984505	110461885	110469429	100
389457	22404	0	22403	-	scaffold-Z	113984505	110436464	110456803	98.0052
377654	8680	3680	8679	+	scaffold-Z	113984505	110425039	110430038	99.1056
376135	28657	0	28656	-	scaffold-Z	113984505	110393500	110423430	98.8482
360420	7120	2120	7119	-	scaffold-Z	113984505	110390503	110395502	95.6678
165	13938	0	9999	-	scaffold-Z	113984505	110380673	110391828	95.8373
364727	31759	0	29999	+	scaffold-Z	113984505	110355290	110382150	98.2452
361891	8732	0	8731	+	scaffold-Z	113984505	110335744	110344653	99.5963
377050	21589	0	21588	+	scaffold-Z	113984505	110308719	110333548	99.284
411026	7109	0	7108	-	scaffold-Z	113984505	110301661	110309156	99.6238
411023	6138	0	6137	-	scaffold-Z	113984505	110285887	110291530	98.9039
389858	6730	0	4999	+	scaffold-Z	113984505	110279381	110284380	95.6678
393434	8458	0	8457	+	scaffold-Z	113984505	110257950	110267441	97.5838
316802	5330	0	5329	+	scaffold-Z	113984505	110251534	110257208	98.6967
280143	8966	0	8965	+	scaffold-Z	113984505	110241273	110250173	98.6906
283925	10536	0	10535	+	scaffold-Z	113984505	110225394	110235916	99.7492
392025	65135	0	64999	-	scaffold-Z	113984505	110151555	110217822	98.4969
353611	8514	0	4999	-	scaffold-Z	113984505	110146415	110151414	96.6313
377624	18188	0	18187	+	scaffold-Z	113984505	110123944	110142219	99.2414
362881	7075	0	7074	-	scaffold-Z	113984505	110111684	110118516	98.0356
327543	6380	0	6379	+	scaffold-Z	113984505	110101590	110107798	98.549
316699	6916	1916	6915	+	scaffold-Z	113984505	110101270	110106269	94.9317
374541	7492	0	7491	-	scaffold-Z	113984505	110095777	110101519	94.7354
390806	7653	0	7652	+	scaffold-Z	113984505	110087294	110094410	97.3119
391416	5845	0	5844	+	scaffold-Z	113984505	110075317	110080624	96.3667
376469	14260	0	14259	-	scaffold-Z	113984505	110060830	110070463	97.1098
384655	50042	0	49999	-	scaffold-Z	113984505	110013335	110063410	98.8696
390701	66348	0	66347	+	scaffold-Z	113984505	109946677	110011554	98.7104
391316	10150	0	10149	+	scaffold-Z	113984505	109937900	109944428	94.9118
363391	7760	0	4999	-	scaffold-Z	113984505	109925837	109930836	97.6582
339041	5551	0	5550	+	scaffold-Z	113984505	109921352	109928431	94.2836
378612	55494	15000	19999	+	scaffold-Z	113984505	109920345	109925344	95.9338
274617	6832	0	6831	-	scaffold-Z	113984505	109905862	109912600	99.831
315270	11505	0	4999	-	scaffold-Z	113984505	109896584	109901583	94.9317
378365	14850	0	14849	-	scaffold-Z	113984505	109876277	109890235	96.8665
524	13679	0	4999	-	scaffold-Z	113984505	109874206	109879205	96.131
584	10254	5000	10253	+	scaffold-Z	113984505	109869603	109874602	95.8517
385731	19212	0	9999	+	scaffold-Z	113984505	109859268	109869780	99.0533
391863	59891	0	54999	-	scaffold-Z	113984505	109805594	109858573	98.095
389784	24150	15000	24149	+	scaffold-Z	113984505	109794970	109802965	95.8994
375091	34788	0	34787	+	scaffold-Z	113984505	109758452	109794885	99.4617
340561	16224	0	16223	-	scaffold-Z	113984505	109737519	109757068	99.5526
368954	21186	0	21185	+	scaffold-Z	113984505	109715693	109737446	98.5296
344585	20819	0	20818	+	scaffold-Z	113984505	109682617	109703423	99.391
1	16413	0	14999	+	scaffold-Z	113984505	109664410	109681063	98.1098
387468	39543	0	39542	+	scaffold-Z	113984505	109609525	109651440	99.4979
344701	5202	0	5201	+	scaffold-Z	113984505	109603582	109608581	98.8172
328340	16286	5000	16285	-	scaffold-Z	113984505	109594599	109603162	97.0716
371251	13446	0	13445	-	scaffold-Z	113984505	109580335	109592769	97.5018
381903	27129	0	14999	+	scaffold-Z	113984505	109565641	109581323	99.2671
383075	13901	0	13900	-	scaffold-Z	113984505	109551383	109564131	97.4787
374263	7355	0	7354	-	scaffold-Z	113984505	109528591	109537239	96.4393
377652	12354	0	4999	+	scaffold-Z	113984505	109527407	109532406	96.6024
329440	6285	0	6284	+	scaffold-Z	113984505	109515212	109520818	99.0827
392946	41854	0	4999	-	scaffold-Z	113984505	109510297	109515296	94.5938
385941	6346	0	6345	-	scaffold-Z	113984505	109494563	109499692	97.3217
355145	13686	0	13685	-	scaffold-Z	113984505	109468369	109483143	99.1793
382242	7963	0	7962	-	scaffold-Z	113984505	109459343	109468675	94.6474
443007	9742	0	4999	+	scaffold-Z	113984505	109450544	109455543	97.2107
443020	5622	0	5621	+	scaffold-Z	113984505	109441851	109447467	94.9783
303787	6952	0	6951	+	scaffold-Z	113984505	109436174	109442745	99.0533
244699	8685	3685	8684	-	scaffold-Z	113984505	109428839	109433838	92.7958
381730	44976	5000	44975	-	scaffold-Z	113984505	109387818	109430827	98.9553
363430	6007	0	6006	+	scaffold-Z	113984505	109377971	109383850	99.177
359348	14124	9124	14123	+	scaffold-Z	113984505	109372678	109377677	92.4752
393480	40099	30000	40098	+	scaffold-Z	113984505	109365417	109375467	97.7323
332446	25540	0	4999	-	scaffold-Z	113984505	109325791	109330790	97.4658
331857	8128	3128	8127	+	scaffold-Z	113984505	109319772	109324771	93.1337
371152	28233	0	28232	-	scaffold-Z	113984505	109293698	109321505	98.7606
384401	11431	0	11430	+	scaffold-Z	113984505	109278977	109290768	99.5849
316009	7925	0	7924	-	scaffold-Z	113984505	109269319	109277133	99.4019
345145	6073	0	6072	+	scaffold-Z	113984505	109260122	109266267	98.7598
392777	58158	30000	58157	+	scaffold-Z	113984505	109232040	109259870	99.1325
375649	13617	0	13616	-	scaffold-Z	113984505	109190327	109204434	97.2856
383025	11698	0	11697	+	scaffold-Z	113984505	109177973	109189903	98.734
340747	19886	0	19885	-	scaffold-Z	113984505	109151987	109170127	98.5377
359048	8049	0	8048	-	scaffold-Z	113984505	109145002	109152700	98.5894
383900	22456	0	22455	+	scaffold-Z	113984505	109127967	109146341	98.1038
362487	6988	0	6987	-	scaffold-Z	113984505	109116974	109123197	96.7205
372008	6006	0	6005	-	scaffold-Z	113984505	109105578	109111709	98.553
361626	29534	0	29533	-	scaffold-Z	113984505	109073459	109104411	97.9519
290857	12601	0	12600	-	scaffold-Z	113984505	109051588	109063953	99.5874
371618	110968	0	19999	-	scaffold-Z	113984505	109030102	109050130	99.3259
290449	12495	0	12494	-	scaffold-Z	113984505	108940129	108952112	99.5351
229998	21739	10000	21738	+	scaffold-Z	113984505	108928364	108940323	99.416
246870	6891	0	6890	+	scaffold-Z	113984505	108908908	108916028	99.3027
385333	27688	0	27687	-	scaffold-Z	113984505	108861776	108890420	98.9053
371772	5793	793	5792	+	scaffold-Z	113984505	108846060	108851059	95.4127
330560	6342	0	4999	+	scaffold-Z	113984505	108842449	108847448	95.6678
342724	12418	0	9999	-	scaffold-Z	113984505	108834629	108843164	97.2447
376915	19036	0	19035	+	scaffold-Z	113984505	108808586	108825458	97.0884
345712	6618	0	6617	-	scaffold-Z	113984505	108799664	108806955	98.2811
364406	19217	0	19216	+	scaffold-Z	113984505	108769645	108787980	98.9546
357937	5493	0	5492	-	scaffold-Z	113984505	108764551	108770421	96.8073
383295	7511	0	7510	-	scaffold-Z	113984505	108760119	108767906	98.5173
350215	5314	0	4999	-	scaffold-Z	113984505	108752038	108757037	99.6621
298108	9492	0	9491	+	scaffold-Z	113984505	108723393	108732167	99.1525
332750	6814	0	6813	-	scaffold-Z	113984505	108707058	108713512	99.3933
427687	17870	5000	17869	+	scaffold-Z	113984505	108687644	108707818	97.2891
427685	18091	5000	14999	+	scaffold-Z	113984505	108687144	108695580	96.1414
342715	10323	0	10322	-	scaffold-Z	113984505	108673531	108683066	95.106
345730	10928	0	10927	+	scaffold-Z	113984505	108666244	108676690	96.1472
372508	5776	0	5775	+	scaffold-Z	113984505	108652231	108657627	99.3317
348961	6022	0	6021	+	scaffold-Z	113984505	108638032	108643958	98.4166
358048	14803	0	14802	-	scaffold-Z	113984505	108605132	108621186	98.1796
352377	6149	0	6148	-	scaffold-Z	113984505	108598248	108604376	96.4304
388369	19542	5000	19541	+	scaffold-Z	113984505	108587325	108600404	97.2932
318873	5237	0	4999	-	scaffold-Z	113984505	108575456	108580455	99.4043
376089	39153	20000	29999	+	scaffold-Z	113984505	108556601	108566132	97.8056
388788	6013	0	4999	-	scaffold-Z	113984505	108529864	108534863	95.0721
361784	16684	0	16683	+	scaffold-Z	113984505	108512807	108529818	98.6727
385725	5806	0	5805	+	scaffold-Z	113984505	108506702	108512558	97.2425
426114	12448	0	12447	-	scaffold-Z	113984505	108494199	108506315	96.8583
342670	7813	0	7812	-	scaffold-Z	113984505	108483643	108490082	95.5659
375159	7278	0	7277	-	scaffold-Z	113984505	108475004	108482164	98.2761
379343	12530	0	12529	+	scaffold-Z	113984505	108459861	108470663	95.1319
359034	6244	1244	6243	-	scaffold-Z	113984505	108456393	108461392	96.7297
352166	5734	0	5733	-	scaffold-Z	113984505	108450212	108455565	97.9331
356586	6563	0	6562	+	scaffold-Z	113984505	108444391	108450008	99.3511
344651	5148	0	5147	+	scaffold-Z	113984505	108438616	108443865	98.7444
313369	7503	0	7502	-	scaffold-Z	113984505	108423694	108431150	99.1091
373105	6287	0	6286	-	scaffold-Z	113984505	108402786	108409001	98.7266
372072	7576	0	4999	+	scaffold-Z	113984505	108396648	108401647	96.8073
258470	5191	0	5190	+	scaffold-Z	113984505	108389441	108394440	98.4166
384825	33922	0	29999	+	scaffold-Z	113984505	108359958	108389582	97.9116
343026	5918	0	5917	+	scaffold-Z	113984505	108356316	108361815	99.5064
365315	5328	0	5327	-	scaffold-Z	113984505	108349017	108354470	99.0104
378193	8045	0	8044	+	scaffold-Z	113984505	108335816	108343582	97.7147
392574	79956	0	69999	-	scaffold-Z	113984505	108269649	108335978	98.4294
349702	7447	0	7446	+	scaffold-Z	113984505	108263484	108269689	97.9986
383466	11868	0	11867	+	scaffold-Z	113984505	108250859	108262814	98.4714
353601	7655	2655	7654	-	scaffold-Z	113984505	108243196	108248195	95.4485
342571	13912	0	13911	-	scaffold-Z	113984505	108230895	108243401	96.4116
357055	34788	0	34787	-	scaffold-Z	113984505	108196294	108229459	98.2975
316806	15561	0	15560	-	scaffold-Z	113984505	108182826	108197290	97.782
371127	9375	0	9374	-	scaffold-Z	113984505	108173863	108183020	98.9846
309711	10112	0	9999	-	scaffold-Z	113984505	108158684	108168826	98.4828
373424	16744	0	16743	-	scaffold-Z	113984505	108138418	108154576	99.2801
388262	14172	9172	14171	+	scaffold-Z	113984505	108132346	108137345	100
363670	14263	0	14262	+	scaffold-Z	113984505	108112101	108124182	98.1413
359816	9770	0	9769	-	scaffold-Z	113984505	108101827	108111287	99.7499
277417	6107	0	6106	+	scaffold-Z	113984505	108091185	108096194	98.09
370646	12719	0	12718	-	scaffold-Z	113984505	108079597	108092583	99.7465
284075	5474	0	5473	+	scaffold-Z	113984505	108065562	108070561	97.9519
350497	5383	0	5382	+	scaffold-Z	113984505	108054296	108059729	96.7984
340175	7789	0	4999	-	scaffold-Z	113984505	108034488	108039487	98.8172
378563	48605	0	14999	-	scaffold-Z	113984505	108012516	108029422	98.4852
386435	6409	1409	6408	-	scaffold-Z	113984505	107979743	107984742	94.2732
387591	10631	5000	10630	+	scaffold-Z	113984505	107976818	107981817	96.0727
369979	5038	0	5037	+	scaffold-Z	113984505	107973419	107978418	95.4127
372668	41779	0	9999	-	scaffold-Z	113984505	107965806	107974440	98.3085
289499	28600	23600	28599	+	scaffold-Z	113984505	107956717	107961716	93.1337
481	8021	0	8020	+	scaffold-Z	113984505	107927815	107936034	97.9399
358835	5715	0	5714	+	scaffold-Z	113984505	107925431	107931293	98.2811
379524	6685	0	6684	+	scaffold-Z	113984505	107918603	107925003	99.7539
380525	12487	0	12486	+	scaffold-Z	113984505	107893579	107905639	99.3238
398992	5318	0	5317	+	scaffold-Z	113984505	107888408	107893883	98.4644
386947	15064	0	15063	+	scaffold-Z	113984505	107864377	107878368	98.8726
377205	11322	0	11321	+	scaffold-Z	113984505	107848277	107859983	98.7095
370002	5681	0	5680	+	scaffold-Z	113984505	107832748	107838484	100
385595	13083	0	13082	-	scaffold-Z	113984505	107817851	107831422	99.1025
357178	5986	0	5985	-	scaffold-Z	113984505	107810493	107816140	99.3232
362137	8615	0	8614	-	scaffold-Z	113984505	107793984	107802761	97.8144
369601	7253	0	7252	+	scaffold-Z	113984505	107777259	107784637	98.5029
372382	6105	0	6104	+	scaffold-Z	113984505	107768560	107775088	98.9686
322777	13135	0	13134	-	scaffold-Z	113984505	107742632	107755752	97.8818
315980	10247	0	10246	-	scaffold-Z	113984505	107718745	107729229	99.6556
299711	6826	0	6825	-	scaffold-Z	113984505	107701984	107708816	99.5413
362727	6525	0	6524	+	scaffold-Z	113984505	107692516	107699103	99.72
363746	5459	0	5458	-	scaffold-Z	113984505	107687298	107692326	96.2632
298315	5786	0	5785	-	scaffold-Z	113984505	107670492	107676553	100
348186	5642	0	5641	+	scaffold-Z	113984505	107662862	107668136	98.7329
307229	6073	0	6072	+	scaffold-Z	113984505	107654174	107659423	97.9002
373289	5103	0	5102	-	scaffold-Z	113984505	107599188	107604687	99.5365
390349	25154	0	25153	+	scaffold-Z	113984505	107560828	107589487	97.9044
