z.chrom.position	copy.number	feature	gene
82689887	7.700143728	maker-scaffold-W396540-augustus-gene-0.1	LCA5
82981183	0.983746687	augustus_masked-scaffold-Wagouti38-processed-gene-0.0	MSL1
83517645	1.196097275	maker-scaffold-W315484-augustus-gene-0.0	RARA
86441671	1.037291528	augustus_masked-scaffold-Wagouti31-processed-gene-0.0	STAT5B
87892282	0.897140313	maker-scaffold-W235034-augustus-gene-0.1	KPNB1
88396988	1.113188519	maker-scaffold-Wagouti85-augustus-gene-0.1	SP2
88670286	1.07678657	augustus_masked-scaffold-W234611-processed-gene-0.0	NFE2L1
88702830	1.679195431	maker-scaffold-Wagouti10-augustus-gene-0.0	CBX1
89380338	1.055929533	maker-scaffold-Wagouti86-augustus-gene-0.1	HOXB3
89440816	1.335947468	augustus_masked-scaffold-W329503-processed-gene-0.0	HOXB6
89459248	1.044354187	augustus_masked-scaffold-W310848-processed-gene-0.0	HOXB8
89730244	0.959514651	maker-scaffold-Wagouti54-augustus-gene-0.1	UBE2Z
90035554	1.18237202	maker-scaffold-W279164-augustus-gene-0.1	ZNF652
90532934	0.916759057	maker-scaffold-Wagouti63-augustus-gene-0.1	SPOP
90759908	0.974426045	maker-scaffold-Wagouti34-augustus-gene-0.1	KAT7
91479689	1.505596651	augustus_masked-scaffold-W292525-processed-gene-0.1	HIST1H1A
91497833	2.051067999	maker-scaffold-W361806-augustus-gene-0.1	COL1A1
92334440	0.968762878	augustus_masked-scaffold-W278334-processed-gene-0.0	HDAC5
92837626	1.098116934	maker-scaffold-W308895-augustus-gene-0.1	SCAF1
92879514	1.085140832	maker-scaffold-W287227-augustus-gene-0.0	RRAS
92897746	1.166453819	maker-scaffold-W297391-augustus-gene-0.1	PRR12
93239319	0.996576618	maker-scaffold-W244580-augustus-gene-0.1	AP2A1
93458083	1.060718121	augustus_masked-scaffold-Wagouti74-processed-gene-0.0	SNRNP70
93527902	0.874463183	augustus_masked-scaffold-Wagouti36-processed-gene-0.0	PPFIA3
95035682	1.061109554	maker-scaffold-W327090-augustus-gene-0.1	TRIM28
98343344	1.87078305	maker-scaffold-W355712-augustus-gene-0.1	ZSCAN16
98510960	1.212331107	augustus_masked-scaffold-W225694-processed-gene-0.0	ZNF219
98535594	1.081669305	augustus_masked-scaffold-W243873-processed-gene-0.0	ZNF268
99720703	0.845934494	maker-scaffold-Wagouti68-augustus-gene-0.1	MFAP4
99846619	6.113748426	augustus_masked-scaffold-W225890-processed-gene-0.0	ERV3-1
100149893	0.939754008	maker-scaffold-W225852-augustus-gene-0.1	PRSS27
100400887	0.948043668	maker-scaffold-W207139-augustus-gene-0.1	PAQR4
100797148	0.933874538	augustus_masked-scaffold-W276738-processed-gene-0.0	APOBR
100982867	1.080586024	augustus_masked-scaffold-Wagouti33-processed-gene-0.0	ATP2A1
101055049	1.004481124	augustus_masked-scaffold-W229965-processed-gene-0.0	SH2B1
101342258	1.035271363	maker-scaffold-W233879-augustus-gene-0.1	TBC1D17
101438445	1.103594064	augustus_masked-scaffold-W215996-processed-gene-0.0	GYS1
101478377	2.808903002	maker-scaffold-W328357-augustus-gene-0.2	FTL
102286382	0.883710424	augustus_masked-scaffold-W313163-processed-gene-0.0	DNAAF3
102356675	1.17000709	maker-scaffold-W239731-augustus-gene-0.2	PTPRH
102450425	0.957642705	augustus_masked-scaffold-W290532-processed-gene-0.0	PPP6R1
102507380	1.035738308	maker-scaffold-Wagouti53-augustus-gene-0.1	HSPBP1
102645603	0.803147506	maker-scaffold-W347648-augustus-gene-0.0	TMEM150B
102988692	1.186994383	maker-scaffold-W292571-augustus-gene-0.0	EPS8L1
103238334	1.139345849	maker-scaffold-W314154-augustus-gene-0.1	KCNJ14
103245655	1.06525539	augustus_masked-scaffold-W229997-processed-gene-0.0	CYTH2
103277956	1.041796654	maker-scaffold-W283781-augustus-gene-0.1	TLR13
103359411	1.165752785	augustus_masked-scaffold-Wagouti9-processed-gene-0.0	LMTK3
103359411	0.745108981	maker-scaffold-Wagouti9-augustus-gene-0.2	LMTK3
103482560	1.307360827	augustus_masked-scaffold-Wagouti22-processed-gene-0.1	CACNG7
103538585	0.876724313	augustus_masked-scaffold-W278382-processed-gene-0.0	CACNG8
103736700	1.048661921	maker-scaffold-W211154-augustus-gene-0.1	CCDC114
104144386	1.02237572	maker-scaffold-W309302-augustus-gene-0.1	PRPF31
104158398	0.999485327	maker-scaffold-Wagouti12-augustus-gene-0.1	TFPT
104174068	1.107211875	maker-scaffold-W285225-augustus-gene-0.1	OSCAR
104290908	1.06702377	maker-scaffold-W207421-augustus-gene-0.1	SHISA7
104335372	3.894987322	maker-scaffold-Wagouti90-augustus-gene-0.1	UBE2S
104360810	1.123792906	augustus_masked-scaffold-W225900-processed-gene-0.0	RCVRN
104548230	0.919671031	maker-scaffold-W210503-augustus-gene-0.0	RASIP1
104686082	1.101679806	maker-scaffold-W345695-augustus-gene-0.0	IZUMO1
104763789	0.942711213	maker-scaffold-W278386-augustus-gene-0.0	SULT2B1
104936777	0.954217983	maker-scaffold-W327885-augustus-gene-0.0	ISOC2
104952866	1.013531233	augustus_masked-scaffold-W286112-processed-gene-0.1	MYH11
105074770	0.877188363	augustus_masked-scaffold-W246072-processed-gene-0.0	EPN1
105112978	2.139385019	augustus_masked-scaffold-W311918-processed-gene-0.0	U2AF2
105206563	1.264968505	augustus_masked-scaffold-W236876-processed-gene-0.1	ZNF726
105235849	0.98896374	augustus_masked-scaffold-W353738-processed-gene-0.1	SACS
105318166	0.977921059	augustus_masked-scaffold-W292525-processed-gene-0.0	H4C1
105389554	1.160749525	augustus_masked-scaffold-W315309-processed-gene-0.0	TBRG1
105450385	0.916556991	maker-scaffold-W331055-augustus-gene-0.1	CORO1A
105512448	0.980803921	augustus_masked-scaffold-Wagouti22-processed-gene-0.0	GDPD3
105531125	0.966778486	maker-scaffold-W211880-augustus-gene-0.0	YPEL3
105582679	1.309173316	augustus_masked-scaffold-W210200-processed-gene-0.0	ALDOA
105631040	0.927306995	maker-scaffold-Wagouti3-augustus-gene-0.1	MVP
105680423	0.941088797	augustus_masked-scaffold-W321164-processed-gene-0.0	MAZ
105690065	0.822017569	augustus_masked-scaffold-W230767-processed-gene-0.0	PRRT2
105710861	1.006923868	augustus_masked-scaffold-W311991-processed-gene-0.0	CDIPT
105835326	0.910086898	maker-scaffold-W327953-augustus-gene-0.1	KIF22
105856879	1.065202733	augustus_masked-scaffold-W349507-processed-gene-0.0	PAGR1
105865513	1.088669016	maker-scaffold-W349507-augustus-gene-0.3	ASPHD1
105873042	0.989012842	maker-scaffold-W244755-augustus-gene-0.1	SEZ6L2
105967889	1.203734473	maker-scaffold-W274364-augustus-gene-0.1	INO80E
106198960	1.134033721	augustus_masked-scaffold-W283743-processed-gene-0.0	GJB2
106257774	1.048037626	maker-scaffold-W277668-augustus-gene-0.0	THOC6
106267800	1.454645534	maker-scaffold-W238660-augustus-gene-0.2	HCFC1R1
106273569	0.819746876	maker-scaffold-W238660-augustus-gene-0.1	RAB35
106457061	1.153489837	augustus_masked-scaffold-W285251-processed-gene-0.0	TBC1D10B
106793422	2.409484328	augustus_masked-scaffold-W292519-processed-gene-0.0	CA4
0	73.51268814	augustus_masked-scaffold-W236876-processed-gene-0.0	MLV
0	22.52026528	maker-scaffold-Wagouti70-augustus-gene-0.0	RT1-B
0	21.26432093	maker-scaffold-W359059-augustus-gene-0.0	NA
0	15.594007	augustus_masked-scaffold-W298664-processed-gene-0.0	H2-Q9
0	11.91115912	augustus_masked-scaffold-W368604-processed-gene-0.0	MLV
0	10.25437373	augustus_masked-scaffold-W327813-processed-gene-0.0	ERV3-1
0	8.714304616	augustus_masked-scaffold-Wagouti42-processed-gene-0.0	ERV3-1
0	6.262185512	augustus_masked-scaffold-W245263-processed-gene-0.0	ERV3-1
0	6.240444626	maker-scaffold-W291004-augustus-gene-0.1	NA
0	6.194138729	augustus_masked-scaffold-W315963-processed-gene-0.0	ERV3-2
0	6.184294156	maker-scaffold-W331308-augustus-gene-0.1	NA
0	5.931406199	augustus_masked-scaffold-W278059-processed-gene-0.0	HA1F
0	5.244692927	maker-scaffold-W328357-augustus-gene-0.1	NA
0	4.969952217	maker-scaffold-W225917-augustus-gene-0.0	NA
0	4.937290912	augustus_masked-scaffold-W309787-processed-gene-0.1	CACNA2D3
0	4.820281512	augustus_masked-scaffold-W290085-processed-gene-0.0	RBM14
0	4.775371619	augustus_masked-scaffold-W284442-processed-gene-0.0	NA
0	4.192486262	augustus_masked-scaffold-W290042-processed-gene-0.0	RBM14
0	4.052991263	augustus_masked-scaffold-W309347-processed-gene-0.0	ERV3-1
0	3.661625581	maker-scaffold-Wagouti77-augustus-gene-0.1	VWA5A
0	3.486560726	augustus_masked-scaffold-W285958-processed-gene-0.0	NA
0	3.301407417	augustus_masked-scaffold-Wagouti87-processed-gene-0.0	ERV3-1
0	3.270283418	maker-scaffold-W315223-augustus-gene-0.1	ERV3-1
0	3.197702766	augustus_masked-scaffold-W340974-processed-gene-0.0	ERV3-1
0	3.048840206	maker-scaffold-W382211-augustus-gene-0.1	AADACL4
0	2.483337621	maker-scaffold-W290496-augustus-gene-0.1	NA
0	2.291540126	augustus_masked-scaffold-W381771-processed-gene-0.0	NA
0	2.18194073	augustus_masked-scaffold-W280125-processed-gene-0.1	NA
0	2.14105726	augustus_masked-scaffold-W339702-processed-gene-0.0	NA
0	2.009563841	augustus_masked-scaffold-W413962-processed-gene-0.0	DDIT4L
0	1.996834499	augustus_masked-scaffold-W234755-processed-gene-0.1	LOC106547512
0	1.939094941	maker-scaffold-W48-augustus-gene-0.1	ERV3-1
0	1.918092134	augustus_masked-scaffold-Wagouti36-processed-gene-0.1	NA
0	1.910451361	maker-scaffold-W292525-augustus-gene-0.2	NA
0	1.878475644	maker-scaffold-W376851-augustus-gene-0.1	LOC106538011
0	1.663606317	augustus_masked-scaffold-W339823-processed-gene-0.0	SOX8
0	1.648889406	augustus_masked-scaffold-W290901-processed-gene-0.0	NA
0	1.636360288	maker-scaffold-W225851-augustus-gene-0.1	LOC106551782
0	1.603368488	augustus_masked-scaffold-W343715-processed-gene-0.0	NA
0	1.601235167	augustus_masked-scaffold-W279081-processed-gene-0.0	LOC106548453
0	1.538497275	augustus_masked-scaffold-W284345-processed-gene-0.0	NA
0	1.51317757	augustus_masked-scaffold-W278460-processed-gene-0.0	SOX8
0	1.455372257	maker-scaffold-W214192-augustus-gene-0.1	LOC106551782
0	1.432098418	augustus_masked-scaffold-Wagouti24-processed-gene-0.0	NA
0	1.416306957	augustus_masked-scaffold-W349682-processed-gene-0.0	LOC106548478
0	1.365915162	augustus_masked-scaffold-W309821-processed-gene-0.0	LOC106548453
0	1.364413657	maker-scaffold-W310586-augustus-gene-0.1	LOC106551782
0	1.357969102	augustus_masked-scaffold-Wagouti23-processed-gene-0.0	LOC106547512
0	1.348062928	augustus_masked-scaffold-W278718-processed-gene-0.0	NA
0	1.33974965	augustus_masked-scaffold-W291562-processed-gene-0.0	LOC106547512
0	1.332082979	augustus_masked-scaffold-W283894-processed-gene-0.0	ZNF319
0	1.31299142	augustus_masked-scaffold-W368988-processed-gene-0.0	NA
0	1.281555011	maker-scaffold-Wagouti84-augustus-gene-0.2	NA
0	1.276753449	augustus_masked-scaffold-W309787-processed-gene-0.0	LOC106538011
0	1.270998572	maker-scaffold-W331333-augustus-gene-0.1	LOC106551782
0	1.261674472	maker-scaffold-Wagouti58-augustus-gene-0.1	PRR12
0	1.247123578	augustus_masked-scaffold-W313442-processed-gene-0.0	LOC106538011
0	1.225785564	augustus_masked-scaffold-W198575-processed-gene-0.0	LOC106538011
0	1.224980785	augustus_masked-scaffold-W210266-processed-gene-0.0	KANSL1
0	1.217152366	augustus_masked-scaffold-W315149-processed-gene-0.0	NA
0	1.208391566	augustus_masked-scaffold-W309211-processed-gene-0.0	NA
0	1.19078451	augustus_masked-scaffold-W278741-processed-gene-0.0	NA
0	1.182497358	augustus_masked-scaffold-Wagouti67-processed-gene-0.2	CDK12
0	1.159961036	augustus_masked-scaffold-W462876-processed-gene-0.0	LOC106548453
0	1.147240959	augustus_masked-scaffold-Wagouti50-processed-gene-0.0	NA
0	1.140487452	augustus_masked-scaffold-W366597-processed-gene-0.0	LOC106538011
0	1.116128511	augustus_masked-scaffold-W391774-processed-gene-0.0	MDFI
0	1.103482141	augustus_masked-scaffold-W353738-processed-gene-0.0	SACS
0	1.103077215	maker-scaffold-W327100-augustus-gene-0.1	LOC106549959
0	1.094667397	augustus_masked-scaffold-W283802-processed-gene-0.0	NA
0	1.092645364	maker-scaffold-W404072-augustus-gene-0.1	SLC22A7
0	1.086261432	augustus_masked-scaffold-W284440-processed-gene-0.0	GYS1
0	1.072107872	maker-scaffold-W234602-augustus-gene-0.1	PPP6R1
0	1.054731622	augustus_masked-scaffold-W211159-processed-gene-0.0	PRR12
0	1.039263948	augustus_masked-scaffold-W290328-processed-gene-0.0	FAM171A2
0	1.039216643	augustus_masked-scaffold-W244348-processed-gene-0.0	LOC106548453
0	1.027204667	maker-scaffold-W315725-augustus-gene-0.1	SEZ6L2
0	0.986498615	maker-scaffold-Wagouti76-augustus-gene-0.1	TMEM143
0	0.982285331	augustus_masked-scaffold-W339755-processed-gene-0.0	SNRK
0	0.981983496	maker-scaffold-W296260-augustus-gene-0.1	TRIM28
0	0.980898209	augustus_masked-scaffold-W291653-processed-gene-0.0	LOC106548453
0	0.976215814	augustus_masked-scaffold-Wagouti48-processed-gene-0.0	CDK5R1
0	0.928615354	augustus_masked-scaffold-Wagouti67-processed-gene-0.1	CDK12
0	0.916698983	augustus_masked-scaffold-W312358-processed-gene-0.1	PRR12
0	0.913566728	maker-scaffold-Wagouti18-augustus-gene-0.3	UBTF
0	0.906933707	maker-scaffold-Wagouti32-augustus-gene-0.1	NA
0	0.88445631	maker-scaffold-W210647-augustus-gene-0.1	NA
0	0.872875214	augustus_masked-scaffold-W278965-processed-gene-0.0	NA
0	0.844049593	maker-scaffold-W313771-augustus-gene-0.1	RBM33
0	0.813195457	augustus_masked-scaffold-Wagouti67-processed-gene-0.0	CDK12
0	0.785404291	maker-scaffold-W283905-augustus-gene-0.1	EPC1
0	0.687291719	maker-scaffold-W361845-augustus-gene-0.1	C5
0	0.56903091	augustus_masked-scaffold-W332734-processed-gene-0.0	NA
