female-biased_chrom	length.x	bases.x	mean.x	min.x	max.x	length.y	bases.y	mean.y	min.y	max.y	fmnorm
198723	5044	6677	1.32	0	32	5044	190398	37.75	0	89	4.485006855
198743	6235	15736	2.52	0	29	6235	229101	36.74	0	101	3.512996033
198845	8621	49904	5.79	0	119	8621	272609	31.62	0	76	2.09634216
198893	13262	15727	1.19	0	26	13262	415665	31.34	0	81	4.366111747
198938	6138	15749	2.57	0	56	6138	212019	34.54	0	68	3.395567864
198995	7424	5435	0.73	0	65	7424	253195	34.1	0	145	5.192871511
199021	15900	38622	2.43	0	93	15900	529352	33.29	0	132	3.423200697
199040	12269	74080	6.04	0	98	12269	547984	44.66	0	171	2.533502842
201552	9738	44103	4.53	0	121	9738	336424	34.55	0	106	2.578242801
207139	6809	15481	2.27	0	40	6809	228567	33.57	0	100	3.53354838
207421	7864	20507	2.61	0	95	7864	245154	31.17	0	186	3.225176489
208420	12393	69359	5.6	0	123	12393	453904	36.63	0	131	2.356667014
208470	14941	98651	6.6	0	107	14941	619933	41.49	0	224	2.299365773
208471	6697	14358	2.14	0	63	6697	270224	40.35	0	129	3.884026017
208599	5828	41042	7.04	0	65	5828	201536	34.58	0	99	1.943430581
208636	7471	1312	0.18	0	9	7471	262993	35.2	0	66	7.258574758
208773	8257	65680	7.95	0	63	8257	304584	36.89	0	150	1.861343069
208775	7496	127702	17.04	0	180	7496	431946	57.62	0	287	1.40478437
209227	5191	75925	14.63	0	219	5191	268924	51.81	0	351	1.47144086
209246	5559	15038	2.71	0	40	5559	191849	34.51	0	117	3.317789763
209251	6252	52236	8.36	0	59	6252	239309	38.28	0	123	1.842156028
209279	7899	20407	2.58	0	52	7899	257727	32.63	0	96	3.307896062
209282	6543	112786	17.24	0	328	6543	351744	53.76	0	511	1.287913409
209291	6783	139438	20.56	0	255	6783	371153	54.72	0	380	1.059368011
209322	8230	74970	9.11	0	81	8230	355645	43.21	0	133	1.892982317
209329	6483	41548	6.41	0	51	6483	286459	44.19	0	194	2.432463715
209338	5256	9730	1.85	0	25	5256	216681	41.23	0	100	4.125237331
209349	6556	50679	7.73	0	85	6556	275814	42.07	0	198	2.091391544
209357	6562	21262	3.24	0	45	6562	228436	34.81	0	88	3.072576141
209358	5641	25160	4.46	0	33	5641	191173	33.89	0	102	2.572884067
209364	5091	23520	4.62	0	72	5091	205486	40.36	0	147	2.774101463
209376	5523	54857	9.93	0	117	5523	241515	43.73	0	145	1.785897771
209426	12135	65070	5.36	0	56	12135	476433	39.26	0	142	2.519895313
209441	10127	172307	17.01	0	112	10127	480512	47.45	0	166	1.127164992
209450	6653	1959	0.29	0	7	6653	227754	34.23	0	58	6.530204627
209551	5999	122816	20.47	0	119	5999	315486	52.59	0	248	1.00841744
209616	6370	13418	2.11	0	37	6370	208927	32.8	0	75	3.605520956
209646	5520	3654	0.66	0	26	5520	166697	30.2	0	58	5.16307876
209653	5416	44282	8.18	0	61	5416	201325	37.17	0	102	1.831105985
209663	9067	91387	10.08	0	126	9067	410453	45.27	0	202	1.814199713
209665	13714	94997	6.93	0	198	13714	586382	42.76	0	178	2.272474641
209667	7402	9633	1.3	0	52	7402	253558	34.26	0	92	4.367081669
209700	9854	36601	3.71	0	78	9854	353546	35.88	0	133	2.920828844
209709	8260	25208	3.05	0	83	8260	302296	36.6	0	135	3.232102546
209715	5465	103018	18.85	0	218	5465	328874	60.18	0	321	1.321859629
209761	11446	145379	12.7	0	188	11446	549498	48.01	0	249	1.565646485
209797	7157	15071	2.11	0	33	7157	233771	32.66	0	81	3.599349932
209805	10494	4968	0.47	0	31	10494	324316	30.9	0	71	5.685942317
209857	12128	50172	4.14	0	125	12128	464500	38.3	0	188	2.856781765
209859	7007	49793	7.11	0	47	7007	275871	39.37	0	95	2.116315293
209863	6092	17561	2.88	0	38	6092	179962	29.54	0	62	3.005669155
209882	11435	12979	1.14	0	22	11435	377062	32.97	0	114	4.501188203
209914	6885	54132	7.86	0	83	6885	299126	43.45	0	156	2.113895005
209924	7440	102985	13.84	0	153	7440	386570	51.96	0	283	1.555697533
209955	13685	20642	1.51	0	56	13685	503742	36.81	0	128	4.254617341
209957	6872	10364	1.51	0	34	6872	208737	30.38	0	71	3.977641461
209986	16220	62422	3.85	0	45	16220	546459	33.69	0	97	2.776530123
209992	8462	85161	10.06	0	124	8462	349260	41.27	0	158	1.683603179
210009	6625	111510	16.83	0	204	6625	376278	56.8	0	333	1.401995799
210013	5692	8101	1.42	0	17	5692	189246	33.25	0	78	4.196531551
210031	6576	44147	6.71	0	66	6576	241576	36.74	0	155	2.100107
210033	5127	16172	3.15	0	48	5127	203140	39.62	0	69	3.299945192
210053	5020	34907	6.95	0	132	5020	236672	47.15	0	182	2.409312934
210083	6276	40522	6.46	0	71	6276	260953	41.58	0	133	2.333423734
210084	5106	72329	14.17	0	160	5106	236502	46.32	0	250	1.355935541
210093	8945	68281	7.63	0	90	8945	486685	54.41	0	302	2.481256912
210165	9457	57582	6.09	0	90	9457	362671	38.35	0	149	2.30185249
210170	6328	30634	4.84	0	67	6328	242047	38.25	0	127	2.629520841
210190	12328	105165	8.53	0	98	12328	531806	43.14	0	233	1.985548575
210200	6420	47920	7.46	0	83	6420	246468	38.39	0	136	2.01062307
210201	5406	69085	12.78	0	95	5406	274870	50.85	0	160	1.639499983
210240	8058	64485	8	0	107	8058	396415	49.2	0	162	2.267726456
210266	8024	22522	2.81	0	53	8024	291370	36.31	0	104	3.33886494
210277	7614	12155	1.6	0	48	7614	255545	33.56	0	121	4.037738951
210282	8688	58550	6.74	0	115	8688	299236	34.44	0	176	2.000404692
210321	7024	11274	1.61	0	37	7024	254835	36.28	0	98	4.141181908
210332	8432	50966	6.04	0	112	8432	359936	42.69	0	175	2.468417753
210346	8242	22232	2.7	0	78	8242	301334	36.56	0	92	3.406374804
210359	5894	77783	13.2	0	163	5894	295263	50.1	0	138	1.571412719
210384	9464	6681	0.71	0	26	9464	341088	36.04	0	75	5.312776222
210393	5158	11275	2.19	0	23	5158	172974	33.54	0	114	3.58401996
210415	8761	9055	1.03	0	67	8761	270133	30.83	0	83	4.550758692
210433	9063	10732	1.18	0	23	9063	322712	35.61	0	96	4.562563717
210437	5660	51348	9.07	0	71	5660	309969	54.76	0	255	2.241088036
210453	5621	8493	1.51	0	16	5621	184052	32.74	0	71	4.085573913
210470	6677	47532	7.12	0	65	6677	292571	43.82	0	209	2.268780384
210474	7648	20092	2.63	0	37	7648	279026	36.48	0	94	3.44111107
210485	5411	2930	0.54	0	29	5411	185004	34.19	0	71	5.631611251
210496	6217	45879	7.38	0	185	6217	247211	39.76	0	276	2.076765081
210503	11119	15353	1.38	0	33	11119	357219	32.13	0	96	4.188320854
210505	7268	94475	13	0	306	7268	369131	50.79	0	485	1.613172896
210541	5497	59553	10.83	0	69	5497	207331	37.72	0	92	1.447436479
210542	5829	16250	2.79	0	71	5829	195226	33.49	0	126	3.232533394
210550	6345	56325	8.88	0	265	6345	263724	41.56	0	359	1.873704118
210557	6072	32896	5.42	0	152	6072	252923	41.65	0	217	2.589091784
210566	5487	8714	1.59	0	23	5487	172324	31.41	0	75	3.951265318
210598	5915	71705	12.12	0	114	5915	265539	44.89	0	201	1.536144443
210603	10567	78139	7.39	0	93	10567	439475	41.59	0	131	2.139730461
210612	10133	37325	3.68	0	69	10133	382930	37.79	0	131	3.007366893
210645	5577	39274	7.04	0	54	5577	206012	36.94	0	107	2.038676578
210647	10690	236626	22.14	0	174	10690	684730	64.05	0	327	1.179683394
210704	5058	26329	5.21	0	67	5058	207814	41.09	0	139	2.626572098
210708	8809	26272	2.98	0	66	8809	307183	34.87	0	118	3.195742174
210717	5569	7579	1.36	0	22	5569	162402	29.16	0	61	4.069452209
210719	7448	40079	5.38	0	62	7448	291642	39.16	0	143	2.510842733
210729	7326	30016	4.1	0	45	7326	226190	30.87	0	70	2.559649714
210733	5748	110080	19.15	0	123	5748	312364	54.34	0	220	1.151810219
210766	6889	89604	13.01	0	133	6889	323462	46.95	0	248	1.498644241
210796	8460	32705	3.87	0	63	8460	326099	38.55	0	125	2.963465434
210824	8754	14704	1.68	0	51	8754	313214	35.78	0	78	4.059760295
210856	12026	48042	3.99	0	75	12026	461156	38.35	0	131	2.911905972
210883	6681	22135	3.31	0	87	6681	237536	35.55	0	116	3.072086483
210892	6306	17065	2.71	0	50	6306	228946	36.31	0	158	3.391142219
210897	5439	16959	3.12	0	70	5439	202908	37.31	0	75	3.227084472
210900	5964	18666	3.13	0	29	5964	252012	42.26	0	133	3.402198251
210912	5702	18247	3.2	0	36	5702	194808	34.16	0	70	3.06330421
210918	6030	43894	7.28	0	54	6030	236141	39.16	0	141	2.074510455
210928	8888	13345	1.5	0	40	8888	283129	31.86	0	93	4.055851907
210929	6832	120900	17.7	0	159	6832	329050	48.16	0	189	1.091226077
210943	5545	95534	17.23	0	86	5545	293051	52.85	0	176	1.264120816
210951	6667	16633	2.49	0	72	6667	243156	36.47	0	149	3.519632598
210956	6161	165365	26.84	0	166	6161	477419	77.49	0	299	1.176765518
210964	5350	38267	7.15	0	62	5350	240040	44.87	0	117	2.296876083
211020	14403	261937	18.19	0	256	14403	776239	53.89	0	287	1.214012089
211042	5224	13836	2.65	0	43	5224	179277	34.32	0	89	3.342125334
211044	5486	25909	4.72	0	70	5486	189678	34.57	0	126	2.519801884
211054	5201	19345	3.72	0	67	5201	206443	39.69	0	121	3.062541081
211089	9206	47204	5.13	0	109	9206	368792	40.06	0	213	2.612271736
211110	7148	59023	8.26	0	187	7148	266678	37.31	0	244	1.822488719
211123	10107	82829	8.2	0	159	10107	432127	42.76	0	194	2.029706084
211148	11088	12729	1.15	0	35	11088	399785	36.06	0	86	4.617833676
211152	5165	95959	18.58	0	171	5165	313622	60.72	0	246	1.355561335
211154	23998	115438	4.81	0	123	23998	912958	38.04	0	245	2.630548493
211159	6221	39481	6.35	0	100	6221	232263	37.34	0	108	2.203033476
211183	7747	99773	12.88	0	180	7747	358000	46.21	0	240	1.490212542
211189	5074	24148	4.76	0	85	5074	167696	33.05	0	102	2.442756839
211197	9496	82106	8.65	0	104	9496	379545	39.97	0	159	1.85528558
211205	5345	75183	14.07	0	103	5345	281047	52.58	0	169	1.549031859
211214	5913	33933	5.74	0	106	5913	206504	34.92	0	176	2.252070963
211215	5807	24325	4.19	0	69	5807	205279	35.35	0	122	2.723828112
211223	5685	64856	11.41	0	69	5685	263731	46.39	0	149	1.6706551
211236	9498	63477	6.68	0	137	9498	392478	41.32	0	249	2.276060292
211237	7209	8102	1.12	0	16	7209	265303	36.8	0	61	4.685275174
211250	10424	74274	7.13	0	52	10424	436277	41.85	0	120	2.200393687
211256	5983	9571	1.6	0	24	5983	198537	33.18	0	58	4.021310122
211267	8892	193685	21.78	0	174	8892	532261	59.86	0	245	1.10572837
211304	5200	12747	2.45	0	26	5200	153052	29.43	0	62	3.233573933
211319	11243	71474	6.36	0	134	11243	462458	41.13	0	269	2.340232447
211320	8308	52846	6.36	0	46	8308	324959	39.11	0	130	2.267578911
211335	9748	109866	11.27	0	97	9748	464257	47.63	0	248	1.726523079
211339	6157	9405	1.53	0	36	6157	204555	33.22	0	78	4.087588561
211348	7804	66122	8.47	0	72	7804	310431	39.78	0	103	1.878749447
211354	5460	116576	21.35	0	196	5460	330221	60.48	0	313	1.149362115
211360	8217	178843	21.76	0	498	8217	457046	55.62	0	682	1.001065234
211372	5687	43148	7.59	0	150	5687	255601	44.94	0	233	2.212968379
211374	6265	20364	3.25	0	35	6265	197616	31.54	0	84	2.925811082
211375	7176	108997	15.19	0	161	7176	327917	45.7	0	181	1.236212341
211387	11699	198630	16.98	0	184	11699	589126	50.36	0	212	1.21558187
211399	7674	18147	2.36	0	35	7674	324252	42.25	0	124	3.809232622
211402	11005	73124	6.64	0	135	11005	400141	36.36	0	146	2.100237098
211410	5415	4391	0.81	0	30	5415	173485	32.04	0	66	4.952948475
211428	5400	5643	1.04	0	25	5400	193931	35.91	0	87	4.756870265
211430	13563	38594	2.85	0	35	13563	478744	35.3	0	102	3.277774405
211450	5386	32917	6.11	0	56	5386	226251	42.01	0	103	2.428628546
211454	5822	27463	4.72	0	93	5822	211782	36.38	0	135	2.593426824
211500	6783	109780	16.18	0	139	6783	375908	55.42	0	223	1.423335149
211559	5803	45261	7.8	0	98	5803	268814	46.32	0	160	2.21722927
211568	11892	56073	4.72	0	146	11892	479089	40.29	0	260	2.740703086
211571	5959	40836	6.85	0	63	5959	207439	34.81	0	78	1.992465966
211591	8431	20836	2.47	0	58	8431	335743	39.82	0	109	3.65805032
211623	7821	84871	10.85	0	76	7821	352005	45.01	0	129	1.699690568
211627	9361	11249	1.2	0	33	9361	326758	34.91	0	73	4.509674092
211637	7398	41792	5.65	0	68	7398	280629	37.93	0	113	2.394156645
211640	6277	6605	1.05	0	23	6277	210399	33.52	0	92	4.643700962
211676	5945	106744	17.96	0	121	5945	318411	53.56	0	167	1.223508656
211704	7637	176110	23.06	0	165	7637	465076	60.9	0	246	1.048189761
211731	9969	62937	6.31	0	151	9969	438320	43.97	0	202	2.447947668
211761	5420	18638	3.44	0	51	5420	206219	38.05	0	130	3.114556029
211768	5973	47653	7.98	0	194	5973	224167	37.53	0	207	1.880723684
211784	8266	33980	4.11	0	99	8266	274922	33.26	0	183	2.663717915
211788	5176	47730	9.22	0	73	5176	223604	43.2	0	123	1.875332702
211805	11041	35272	3.19	0	47	11041	398587	36.1	0	104	3.147510554
211851	8553	30938	3.62	0	89	8553	284798	33.3	0	144	2.84860062
211852	18000	412625	22.92	0	259	18000	1123780	62.43	0	406	1.092772467
211862	11040	17477	1.58	0	42	11040	419001	37.95	0	210	4.233243468
211880	5173	88180	17.05	0	161	5173	266939	51.6	0	233	1.244739372
211974	5623	36027	6.41	0	75	5623	258025	45.89	0	147	2.48692359
211979	8472	27144	3.2	0	55	8472	287936	33.99	0	95	3.056106597
212019	5672	60909	10.74	0	64	5672	290606	51.24	0	187	1.901416528
212099	6222	40017	6.43	0	101	6222	217317	34.93	0	118	2.088716046
212110	5030	19925	3.96	0	68	5030	184256	36.63	0	178	2.856593411
213587	10929	41569	3.8	0	64	10929	389725	35.66	0	94	2.877375425
213628	5397	13042	2.42	0	30	5397	188906	35	0	74	3.501416015
213743	9488	71114	7.5	0	114	9488	430197	45.34	0	223	2.242961936
213770	11121	32322	2.91	0	64	11121	351983	31.65	0	130	3.090254487
213790	5594	48920	8.75	0	65	5594	219013	39.15	0	112	1.808797431
213807	11927	12432	1.04	0	24	11927	422053	35.39	0	87	4.735826374
213886	5599	26131	4.67	0	50	5599	201476	35.98	0	88	2.592840777
213903	7776	27522	3.54	0	58	7776	302907	38.95	0	118	3.106942108
213932	10690	39025	3.65	0	92	10690	393699	36.83	0	231	2.982053074
213935	12826	51932	4.05	0	48	12826	471022	36.72	0	116	2.827712291
213995	10401	184566	17.75	0	467	10401	566049	54.42	0	544	1.263457978
214000	9977	17413	1.75	0	25	9977	350280	35.11	0	64	3.973595215
214027	11257	77920	6.92	0	83	11257	432638	38.43	0	169	2.120529079
214028	13948	74025	5.31	0	119	13948	544963	39.07	0	130	2.526417535
214037	11693	59759	5.11	0	100	11693	453605	38.79	0	102	2.571429625
214070	6737	20097	2.98	0	75	6737	227461	33.76	0	103	3.149070714
214101	7723	26374	3.41	0	66	7723	272563	35.29	0	87	3.018555831
214116	11617	21744	1.87	0	33	11617	371749	32	0	80	3.744101775
214136	10129	11788	1.16	0	14	10129	315336	31.13	0	73	4.393248912
214144	16876	37391	2.22	0	65	16876	578916	34.3	0	138	3.59671704
214149	7325	70458	9.62	0	198	7325	297199	40.57	0	218	1.723444549
214186	11335	6410	0.57	0	44	11335	327284	28.87	0	80	5.309605424
214192	8855	67125	7.58	0	242	8855	360334	40.69	0	345	2.071544572
214193	5466	9023	1.65	0	22	5466	197082	36.06	0	123	4.097001513
214217	8632	30273	3.51	0	77	8632	291652	33.79	0	102	2.91419346
214259	5269	17930	3.4	0	68	5269	171951	32.63	0	104	2.909732382
214260	7095	68586	9.67	0	105	7095	325391	45.86	0	190	1.892788606
214275	5762	126977	22.04	0	181	5762	345017	59.88	0	229	1.089090043
214280	8545	34739	4.07	0	203	8545	1545334	180.85	0	8959	5.120761039
214292	8631	19362	2.24	0	54	8631	316338	36.65	0	89	3.679382607
214303	8788	12961	1.47	0	90	8788	293526	33.4	0	157	4.153100088
215099	5597	34245	6.12	0	119	5597	202408	36.16	0	190	2.209931165
215105	8602	30688	3.57	0	97	8602	362201	42.11	0	275	3.207306942
215315	5398	88851	16.46	0	91	5398	279444	51.77	0	178	1.300292028
215322	5497	27538	5.01	0	71	5497	195947	35.65	0	123	2.478159614
215720	5816	4634	0.8	0	12	5816	174032	29.92	0	56	4.872106411
215854	5237	59632	11.39	0	56	5237	221326	42.26	0	106	1.538665066
215934	8079	25544	3.16	0	46	8079	277262	34.32	0	144	3.088193135
215952	8798	152731	17.36	0	317	8798	481085	54.68	0	412	1.302386341
215992	7622	70684	9.27	0	90	7622	380673	49.94	0	164	2.076694623
215996	9744	50007	5.13	0	97	9744	380824	39.08	0	181	2.576539782
218246	7447	36151	4.85	0	62	7447	256684	34.47	0	89	2.476424692
218277	5601	64951	11.6	0	115	5601	264186	47.17	0	230	1.670884841
218663	10369	103973	10.03	0	217	10369	485802	46.85	0	362	1.870867487
219591	6068	48715	8.03	0	169	6068	306073	50.44	0	231	2.298236428
219648	5281	50407	9.54	0	123	5281	187882	35.58	0	152	1.546145385
219730	16657	218715	13.13	0	265	16657	787101	47.25	0	449	1.494587459
219998	9186	59471	6.47	0	136	9186	356747	38.84	0	181	2.232845629
223971	7053	97022	13.76	0	95	7053	383195	54.33	0	225	1.628408623
224552	6621	27762	4.19	0	93	6621	222128	33.55	0	128	2.648430663
225572	5186	11786	2.27	0	22	5186	158346	30.53	0	81	3.396603432
225585	5492	5857	1.07	0	21	5492	159061	28.96	0	57	4.405518946
225658	5015	96127	19.17	0	112	5015	7012777	1398.36	0	45847	5.835881721
225694	5196	2265	0.44	0	6	5196	164667	31.69	0	66	5.817520371
225714	6063	14349	2.37	0	67	6063	216581	35.72	0	71	3.560913162
225782	5320	84317	15.85	0	176	5320	321479	60.43	0	327	1.577922147
225845	5427	26220	4.83	0	70	5427	203172	37.44	0	182	2.601625386
225848	7376	74830	10.15	0	91	7376	339036	45.96	0	149	1.826039116
225851	10277	86926	8.46	0	127	10277	388329	37.79	0	198	1.806414996
225852	9402	165637	17.62	0	180	9402	508842	54.12	0	224	1.266087961
225856	5440	64217	11.8	0	79	5440	235355	43.26	0	92	1.521386851
225858	6378	11114	1.74	0	38	6378	203795	31.95	0	55	3.845796766
225859	6938	28877	4.16	0	55	6938	267386	38.54	0	100	2.858841184
225864	14708	33484	2.28	0	97	14708	481857	32.76	0	92	3.491969673
225866	7913	21167	2.67	0	54	7913	301339	38.08	0	130	3.481261877
225874	8458	4283	0.51	0	14	8458	292085	34.53	0	74	5.728349322
225876	9335	26642	2.85	0	28	9335	295470	31.65	0	62	3.120311721
225890	9319	67179	7.21	0	43	9319	391730	42.04	0	102	2.19083155
225894	10351	79872	7.72	0	119	10351	446864	43.17	0	264	2.130496386
225900	5935	18794	3.17	0	58	5935	213200	35.92	0	90	3.14937265
225901	10360	155737	15.03	0	83	10360	575303	55.53	0	150	1.532562432
225902	9611	186718	19.43	0	185	9611	602164	62.65	0	303	1.336168654
225912	6793	13888	2.04	0	36	6793	225676	33.22	0	100	3.672551062
225915	8220	22538	2.74	0	35	8220	316069	38.45	0	92	3.457875845
225917	6207	43642	7.03	0	51	6207	281853	45.41	0	107	2.338553488
225921	8474	42059	4.96	0	57	8474	297452	35.1	0	126	2.47019905
225926	5940	1112	0.19	0	2	5940	215566	36.29	0	84	7.224568874
225933	6628	59979	9.05	0	146	6628	316886	47.81	0	251	2.048462754
225935	5787	20700	3.58	0	37	5787	261657	45.21	0	108	3.305750471
225936	10499	93865	8.94	0	84	10499	426050	40.58	0	122	1.829562174
225942	5871	13949	2.38	0	35	5871	228073	38.85	0	75	3.676021166
225947	7285	47124	6.47	0	77	7285	272992	37.47	0	111	2.181038406
225950	8462	114968	13.59	0	121	8462	433914	51.28	0	231	1.562990851
225959	9699	34348	3.54	0	57	9699	399380	41.18	0	120	3.18726261
229028	8024	8357	1.04	0	20	8024	284953	35.51	0	273	4.740709972
229031	7868	9502	1.21	0	30	7868	282670	35.93	0	79	4.539250028
229511	5687	5648	0.99	0	11	5687	192975	33.93	0	61	4.74612914
229656	8599	19614	2.28	0	33	8599	306424	35.63	0	70	3.6131268
229682	13962	18254	1.31	0	43	13962	500382	35.84	0	90	4.421071966
229704	11600	31872	2.75	0	95	11600	394538	34.01	0	150	3.275595528
229806	18946	66255	3.5	0	73	18946	683302	36.07	0	175	3.012512642
229822	13614	51777	3.8	0	58	13614	509863	37.45	0	122	2.948034441
229943	22513	64517	2.87	0	88	22513	844660	37.52	0	148	3.355677231
229965	9970	47699	4.78	0	72	9970	404878	40.61	0	133	2.73389255
229997	9248	99455	10.75	0	170	9248	418215	45.22	0	277	1.719764378
230032	15430	222134	14.4	0	201	15430	794290	51.48	0	326	1.485083287
230055	11268	118372	10.51	0	163	11268	455786	40.45	0	219	1.591517079
230066	7248	18276	2.52	0	32	7248	259670	35.83	0	92	3.47681245
230123	9906	24985	2.52	0	85	9906	349908	35.32	0	112	3.45612975
230182	10357	128825	12.44	0	119	10357	495700	47.86	0	162	1.590973957
230217	14031	209135	14.91	0	194	14031	1197153	85.32	0	3771	2.163743754
