chrom	length.x	bases.x	mean.x	min.x	max.x	length.y	bases.y	mean.y	min.y	max.y	fmnorm
209291	6783	140620	20.73	0	248	6783	361790	53.34	0	361	1.010637754
209322	8230	75247	9.14	0	83	8230	356211	43.28	0	132	1.890574474
209329	6483	41548	6.41	0	51	6483	286706	44.22	0	195	2.433442809
209338	5256	9660	1.84	0	25	5256	216683	41.23	0	100	4.133056835
209349	6556	50556	7.71	0	85	6556	277412	42.31	0	198	2.103335966
209357	6562	21378	3.26	0	45	6562	228083	34.76	0	88	3.061624258
209358	5641	24993	4.43	0	33	5641	191338	33.92	0	102	2.583897612
209364	5091	23474	4.61	0	72	5091	205492	40.36	0	147	2.777227564
209376	5523	54382	9.85	0	117	5523	241413	43.71	0	145	1.796907794
209426	12135	65023	5.36	0	57	12135	474756	39.12	0	135	2.51474151
209441	10127	172927	17.08	0	111	10127	482038	47.6	0	172	1.125793644
209450	6653	2134	0.32	0	8	6653	227915	34.26	0	59	6.389449482
209551	5999	121382	20.23	0	126	5999	317202	52.88	0	254	1.033365903
209616	6370	13418	2.11	0	37	6370	208892	32.79	0	75	3.605081043
209646	5520	3654	0.66	0	26	5520	166649	30.19	0	58	5.162600968
209653	5416	44282	8.18	0	61	5416	200885	37.09	0	102	1.827997565
209663	9067	90480	9.98	0	122	9067	411739	45.41	0	211	1.833038362
209665	13714	94085	6.86	0	198	13714	587120	42.81	0	182	2.2888074
209667	7402	9810	1.33	0	52	7402	253534	34.25	0	92	4.333745883
209700	9854	36377	3.69	0	76	9854	352070	35.73	0	122	2.922583238
209709	8260	24839	3.01	0	79	8260	301467	36.5	0	135	3.247201117
209715	5465	103685	18.97	0	220	5465	329035	60.21	0	322	1.313423484
209761	11446	151225	13.21	0	178	11446	548906	47.96	0	238	1.507341238
209797	7157	15062	2.1	0	33	7157	233592	32.64	0	81	3.60531987
209805	10494	4999	0.48	0	31	10494	324225	30.9	0	71	5.655568668
209857	12128	49935	4.12	0	126	12128	464240	38.28	0	190	2.863014633
209859	7007	49708	7.09	0	47	7007	275823	39.36	0	95	2.120012734
209863	6092	17343	2.85	0	38	6092	179605	29.48	0	62	3.017842746
209882	11435	12867	1.13	0	22	11435	377561	33.02	0	113	4.516085488
209914	6885	53306	7.74	0	83	6885	298212	43.31	0	154	2.131434746
209924	7440	103792	13.95	0	146	7440	387270	52.05	0	293	1.546773087
209955	13685	21214	1.55	0	56	13685	503451	36.79	0	127	4.216113601
209957	6872	10051	1.46	0	34	6872	209674	30.51	0	71	4.032381951
209986	16220	61434	3.79	0	45	16220	546022	33.66	0	101	2.797905469
209992	8462	83990	9.93	0	124	8462	349557	41.31	0	160	1.703765483
210009	6625	112548	16.99	0	204	6625	375757	56.72	0	333	1.386311726
210013	5692	8150	1.43	0	17	5692	189097	33.22	0	77	4.185105067
210031	6576	44138	6.71	0	66	6576	241499	36.72	0	155	2.099321433
210033	5127	15697	3.06	0	48	5127	202865	39.57	0	69	3.339943553
210053	5020	34753	6.92	0	133	5020	239507	47.71	0	196	2.432587789
210083	6276	40085	6.39	0	70	6276	260937	41.58	0	133	2.349141967
210084	5106	72289	14.16	0	160	5106	236506	46.32	0	248	1.356954033
210093	8945	68307	7.64	0	90	8945	487120	54.46	0	305	2.480692485
210165	9457	56734	6	0	89	9457	364094	38.5	0	149	2.328964086
210170	6328	30693	4.85	0	67	6328	241891	38.23	0	127	2.625788593
210190	12328	107255	8.7	0	101	12328	537617	43.61	0	232	1.97271173
210200	6420	48317	7.53	0	83	6420	246457	38.39	0	136	1.997148836
210201	5406	71797	13.28	0	111	5406	276871	51.22	0	161	1.594592152
210240	8058	64335	7.98	0	106	8058	400313	49.68	0	172	2.285344568
210266	8024	22559	2.81	0	53	8024	291443	36.32	0	104	3.339262213
210277	7614	12128	1.59	0	46	7614	255099	33.5	0	121	4.044202471
210282	8688	63074	7.26	0	114	8688	306056	35.23	0	193	1.925903067
210321	7024	11374	1.62	0	37	7024	254418	36.22	0	98	4.129860874
210332	8432	50008	5.93	0	123	8432	355673	42.18	0	170	2.477595131
210346	8242	22241	2.7	0	78	8242	300941	36.51	0	92	3.404400402
210359	5894	79943	13.56	0	178	5894	298081	50.57	0	149	1.546064646
210384	9464	6330	0.67	0	26	9464	341240	36.06	0	75	5.397234537
210393	5158	11495	2.23	0	23	5158	173031	33.55	0	114	3.558337197
210415	8761	9055	1.03	0	67	8761	270133	30.83	0	83	4.550758692
210433	9063	10816	1.19	0	23	9063	322639	35.6	0	96	4.549983808
210437	5660	51908	9.17	0	71	5660	311024	54.95	0	256	2.230265888
210453	5621	8787	1.56	0	17	5621	185280	32.96	0	71	4.048238354
210470	6677	47572	7.12	0	65	6677	292752	43.84	0	209	2.269438698
210474	7648	20346	2.66	0	37	7648	278099	36.36	0	92	3.419994094
210485	5411	2889	0.53	0	29	5411	185004	34.19	0	71	5.658578298
210496	6217	45086	7.25	0	188	6217	246283	39.61	0	267	2.096951847
210503	11119	15193	1.37	0	33	11119	357661	32.17	0	96	4.200608183
210505	7268	94943	13.06	0	307	7268	368894	50.76	0	483	1.605677218
210541	5497	59608	10.84	0	67	5497	207276	37.71	0	92	1.445722439
210542	5829	16379	2.81	0	71	5829	195235	33.49	0	126	3.222228386
210550	6345	56282	8.87	0	266	6345	264413	41.67	0	362	1.879143136
210557	6072	32446	5.34	0	148	6072	251880	41.48	0	204	2.604644293
210566	5487	9010	1.64	0	23	5487	172684	31.47	0	75	3.909349504
210598	5915	71713	12.12	0	114	5915	266047	44.98	0	201	1.539034008
210603	10567	80108	7.58	0	91	10567	439119	41.56	0	131	2.102065946
210612	10133	37522	3.7	0	72	10133	383676	37.86	0	135	3.002217281
210645	5577	39305	7.05	0	54	5577	206575	37.04	0	109	2.040528982
210647	10690	238575	22.32	0	173	10690	686083	64.18	0	327	1.170926808
210704	5058	26668	5.27	0	70	5058	207945	41.11	0	140	2.61075455
210708	8809	26268	2.98	0	66	8809	307105	34.86	0	116	3.195328379
210717	5569	8426	1.51	0	27	5569	162412	29.16	0	63	3.918510311
210719	7448	40032	5.37	0	62	7448	291354	39.12	0	143	2.512052423
210729	7326	30049	4.1	0	45	7326	226175	30.87	0	70	2.559649714
210733	5748	109021	18.97	0	122	5748	312638	54.39	0	220	1.166761793
210766	6889	88893	12.9	0	130	6889	322720	46.85	0	248	1.507818028
210796	8460	32492	3.84	0	63	8460	325725	38.5	0	126	2.972820275
210824	8754	14701	1.68	0	51	8754	313153	35.77	0	78	4.059357026
210856	12026	47698	3.97	0	75	12026	461556	38.38	0	132	2.920283845
210883	6681	22304	3.34	0	87	6681	238097	35.64	0	116	3.062717375
210892	6306	17294	2.74	0	50	6306	228711	36.27	0	156	3.373668993
210897	5439	16894	3.11	0	70	5439	202942	37.31	0	75	3.23171592
210900	5964	18507	3.1	0	29	5964	251231	42.12	0	131	3.411305361
210912	5702	20061	3.52	0	36	5702	197072	34.56	0	77	2.942595929
210918	6030	44277	7.34	0	54	6030	236486	39.22	0	141	2.064877613
210928	8888	13302	1.5	0	40	8888	283063	31.85	0	93	4.055399012
210929	6832	113766	16.65	0	147	6832	330136	48.32	0	190	1.184238323
210943	5545	95130	17.16	0	85	5545	293658	52.96	0	179	1.272993615
210951	6667	16817	2.52	0	72	6667	242664	36.4	0	149	3.499582857
210956	6161	165337	26.84	0	166	6161	477691	77.53	0	297	1.177510039
210964	5350	39103	7.31	0	61	5350	239811	44.82	0	117	2.263339383
211020	14403	262717	18.24	0	256	14403	780887	54.22	0	288	1.218859429
211042	5224	13836	2.65	0	43	5224	179702	34.4	0	89	3.345484346
211044	5486	26229	4.78	0	72	5486	189705	34.58	0	128	2.501995391
211054	5201	19520	3.75	0	67	5201	206443	39.69	0	121	3.050953107
211089	9206	46472	5.05	0	106	9206	367703	39.94	0	205	2.630619085
211110	7148	61499	8.6	0	185	7148	266607	37.3	0	233	1.763907111
211123	10107	81179	8.03	0	159	10107	431980	42.74	0	193	2.059255061
211148	11088	12904	1.16	0	35	11088	399984	36.07	0	86	4.605742758
211152	5165	95325	18.46	0	167	5165	313908	60.78	0	244	1.366334167
211154	23998	115596	4.82	0	120	23998	912196	38.01	0	243	2.626414019
211159	6221	37971	6.1	0	100	6221	231807	37.26	0	108	2.257886572
211183	7747	100818	13.01	0	189	7747	359182	46.36	0	247	1.48039965
211189	5074	24107	4.75	0	85	5074	167780	33.07	0	102	2.446663673
211197	9496	82225	8.66	0	104	9496	378901	39.9	0	156	1.851089862
211205	5345	76129	14.24	0	105	5345	280249	52.43	0	174	1.527583445
211214	5913	33918	5.74	0	110	5913	207546	35.1	0	183	2.259488434
211215	5807	24601	4.24	0	69	5807	204941	35.29	0	122	2.704263306
211223	5685	65107	11.45	0	69	5685	264333	46.5	0	149	1.669023163
211236	9498	63595	6.7	0	140	9498	391997	41.27	0	248	2.270000483
211237	7209	8143	1.13	0	16	7209	265540	36.83	0	61	4.673626765
211250	10424	74942	7.19	0	52	10424	437902	42.01	0	120	2.193809156
211256	5983	9571	1.6	0	24	5983	198320	33.15	0	58	4.020005106
211267	8892	196665	22.12	0	179	8892	532037	59.83	0	250	1.082657723
211304	5200	12846	2.47	0	26	5200	152846	29.39	0	62	3.219882458
211319	11243	71441	6.35	0	138	11243	461446	41.04	0	268	2.33934228
211320	8308	103211	12.42	0	107	8308	383981	46.22	0	193	1.542992132
211335	9748	110379	11.32	0	97	9748	468545	48.07	0	248	1.733402891
211339	6157	9434	1.53	0	36	6157	203289	33.02	0	70	4.078876608
211348	7804	67110	8.6	0	72	7804	310507	39.79	0	103	1.85713738
211354	5460	116588	21.35	0	196	5460	330186	60.47	0	313	1.149123555
211360	8217	178531	21.73	0	498	8217	456541	55.56	0	675	1.00149847
211372	5687	43191	7.59	0	149	5687	256647	45.13	0	235	2.219055033
211374	6265	21431	3.42	0	35	6265	196723	31.4	0	80	2.845836374
211375	7176	108864	15.17	0	164	7176	328394	45.76	0	181	1.240006012
211387	11699	198138	16.94	0	182	11699	587495	50.22	0	212	1.2149682
211399	7674	18147	2.36	0	35	7674	324212	42.25	0	124	3.809232622
211402	11005	74656	6.78	0	135	11005	401068	36.44	0	146	2.073305826
211410	5415	4569	0.84	0	32	5415	172579	31.87	0	60	4.892805927
211428	5400	5643	1.04	0	25	5400	193969	35.92	0	87	4.757271962
211430	13563	38444	2.83	0	35	13563	478372	35.27	0	102	3.286707663
211450	5386	33300	6.18	0	58	5386	226393	42.03	0	103	2.412880759
211454	5822	27065	4.65	0	93	5822	211764	36.37	0	135	2.61458635
211500	6783	109727	16.18	0	140	6783	378063	55.74	0	224	1.43164144
211559	5803	44724	7.71	0	93	5803	268589	46.28	0	160	2.232726145
211568	11892	59717	5.02	0	144	11892	476702	40.09	0	247	2.644623194
211571	5959	40836	6.85	0	63	5959	207344	34.8	0	78	1.992051458
211591	8431	20591	2.44	0	58	8431	336200	39.88	0	109	3.677852402
211623	7821	84196	10.77	0	82	7821	349152	44.64	0	129	1.698458823
211627	9361	11182	1.19	0	33	9361	326684	34.9	0	73	4.521333603
211637	7398	41373	5.59	0	68	7398	280019	37.85	0	113	2.406513158
211640	6277	6605	1.05	0	23	6277	210121	33.47	0	92	4.641547364
211676	5945	106229	17.87	0	122	5945	318836	53.63	0	167	1.232640665
211704	7637	176799	23.15	0	172	7637	467156	61.17	0	248	1.048952128
211731	9969	65895	6.61	0	157	9969	440111	44.15	0	206	2.386831307
211761	5420	18638	3.44	0	51	5420	206224	38.05	0	130	3.114556029
211768	5973	48498	8.12	0	202	5973	225298	37.72	0	215	1.862918089
211784	8266	33869	4.1	0	101	8266	271691	32.87	0	170	2.650215687
211788	5176	47389	9.16	0	77	5176	224200	43.32	0	123	1.888753785
211805	11041	36055	3.27	0	46	11041	399206	36.16	0	107	3.114172182
211851	8553	30972	3.62	0	89	8553	285041	33.33	0	144	2.849899761
211852	18000	413685	22.98	0	250	18000	1128747	62.71	0	369	1.095456767
211862	11040	17516	1.59	0	42	11040	418974	37.95	0	210	4.224141261
211880	5173	91361	17.66	0	161	5173	264429	51.12	0	235	1.180542539
211974	5623	35981	6.4	0	75	5623	257705	45.83	0	147	2.487288521
211979	8472	27436	3.24	0	55	8472	288250	34.02	0	95	3.039457468
212019	5672	61214	10.79	0	64	5672	290943	51.29	0	187	1.896122752
212099	6222	40668	6.54	0	105	6222	217617	34.98	0	121	2.066307794
212110	5030	20504	4.08	0	69	5030	184680	36.72	0	178	2.817065047
213587	10929	41587	3.81	0	64	10929	389828	35.67	0	96	2.873988359
213628	5397	12881	2.39	0	30	5397	188709	34.97	0	74	3.518175318
213743	9488	72789	7.67	0	118	9488	431943	45.53	0	221	2.216659022
213770	11121	31432	2.83	0	63	11121	350027	31.47	0	128	3.122243266
213790	5594	49940	8.93	0	61	5594	221071	39.52	0	108	1.792990912
213807	11927	12496	1.05	0	24	11927	422019	35.38	0	87	4.721612861
213886	5599	25969	4.64	0	51	5599	201515	35.99	0	88	2.602539437
213903	7776	27720	3.56	0	58	7776	302910	38.95	0	118	3.098814228
213932	10690	39074	3.66	0	92	10690	395273	36.98	0	234	2.983969717
213935	12826	54389	4.24	0	47	12826	474130	36.97	0	116	2.771358919
213995	10401	183327	17.63	0	470	10401	561915	54.03	0	531	1.262868253
214000	9977	17518	1.76	0	25	9977	350044	35.09	0	64	3.964552659
214027	11257	78367	6.96	0	84	11257	432344	38.41	0	167	2.111462798
214028	13948	74505	5.34	0	117	13948	546711	39.2	0	129	2.523082053
214037	11693	59633	5.1	0	100	11693	452932	38.74	0	102	2.572394847
214070	6737	20467	3.04	0	75	6737	227572	33.78	0	103	3.121166145
214101	7723	26192	3.39	0	66	7723	273030	35.35	0	87	3.029493082
214116	11617	19992	1.72	0	28	11617	370938	31.93	0	80	3.861572128
214136	10129	11534	1.14	0	13	10129	315290	31.13	0	73	4.418339893
214144	16876	37433	2.22	0	65	16876	579179	34.32	0	138	3.597558017
214149	7325	70016	9.56	0	193	7325	296526	40.48	0	216	1.729266812
214186	11335	6410	0.57	0	44	11335	327418	28.89	0	80	5.31060452
214192	8855	67188	7.59	0	233	8855	360512	40.71	0	351	2.070351476
214193	5466	9034	1.65	0	22	5466	197204	36.08	0	123	4.097801455
214217	8632	30939	3.58	0	77	8632	292216	33.85	0	102	2.888264387
214259	5269	18050	3.43	0	68	5269	171914	32.63	0	104	2.897058551
214260	7095	68104	9.6	0	105	7095	326667	46.04	0	196	1.908921568
214275	5762	125621	21.8	0	181	5762	345874	60.03	0	228	1.108495579
214280	8545	34907	4.09	0	203	8545	1547963	181.15	0	8968	5.116080198
214292	8631	19344	2.24	0	53	8631	316361	36.65	0	89	3.679382607
214303	8788	13316	1.52	0	90	8788	293915	33.45	0	160	4.107003028
215099	5597	33913	6.06	0	120	5597	204965	36.62	0	203	2.242382138
215105	8602	31637	3.68	0	97	8602	360943	41.96	0	275	3.158377052
215315	5398	89509	16.58	0	91	5398	278437	51.58	0	178	1.284507812
215322	5497	28025	5.1	0	71	5497	196173	35.69	0	123	2.454090795
215720	5816	4431	0.76	0	12	5816	174542	30.01	0	56	4.950440136
215854	5237	60456	11.54	0	56	5237	219764	41.96	0	105	1.509511499
215934	8079	25113	3.11	0	46	8079	276535	34.23	0	144	3.107414852
215952	8798	154289	17.54	0	348	8798	490881	55.79	0	442	1.316497849
215992	7622	70261	9.22	0	90	7622	380828	49.96	0	164	2.085074867
215996	9744	49540	5.08	0	94	9744	381172	39.12	0	182	2.592146014
218246	7447	37881	5.09	0	70	7447	258367	34.69	0	106	2.415922325
218277	5601	65210	11.64	0	115	5601	264055	47.14	0	230	1.665000746
218663	10369	102545	9.89	0	217	10369	486209	46.89	0	364	1.892377899
219591	6068	48119	7.93	0	167	6068	305902	50.41	0	231	2.315457229
219648	5281	49817	9.43	0	123	5281	187657	35.53	0	154	1.560848058
219730	16657	217122	13.03	0	265	16657	787557	47.28	0	440	1.506532997
219998	9186	58470	6.37	0	128	9186	356415	38.8	0	180	2.25383142
223971	7053	97408	13.81	0	95	7053	386267	54.77	0	225	1.634812606
224552	6621	27533	4.16	0	103	6621	228101	34.45	0	131	2.696988595
225572	5186	11640	2.24	0	22	5186	158428	30.55	0	81	3.416741788
225585	5492	5825	1.06	0	21	5492	159092	28.97	0	57	4.41956356
225658	5015	96194	19.18	0	112	5015	7014288	1398.66	0	45851	5.835438816
225694	5196	2377	0.46	0	6	5196	164632	31.68	0	66	5.75293471
225714	6063	14349	2.37	0	67	6063	216546	35.72	0	71	3.560913162
225782	5320	84781	15.94	0	176	5320	321346	60.4	0	323	1.569036966
225845	5427	26241	4.84	0	70	5427	202797	37.37	0	184	2.595941657
225848	7376	76609	10.39	0	91	7376	347352	47.09	0	149	1.827365114
225851	10277	86921	8.46	0	126	10277	388442	37.8	0	199	1.806796712
225852	9402	165447	17.6	0	181	9402	509303	54.17	0	225	1.269058708
225856	5440	69068	12.7	0	79	5440	243421	44.75	0	134	1.464199231
225858	6378	11150	1.75	0	38	6378	204262	32.03	0	58	3.841137017
225859	6938	28877	4.16	0	55	6938	267045	38.49	0	100	2.856968283
225864	14708	34173	2.32	0	97	14708	481842	32.76	0	92	3.466878692
225866	7913	20829	2.63	0	52	7913	300838	38.02	0	126	3.500763873
225874	8458	4280	0.51	0	14	8458	292107	34.54	0	74	5.728767071
225876	9335	26561	2.85	0	28	9335	295855	31.69	0	62	3.122133881
225890	9319	68051	7.3	0	44	9319	391896	42.05	0	99	2.173277477
225894	10351	79946	7.72	0	119	10351	447072	43.19	0	264	2.131164609
225900	5935	18794	3.17	0	58	5935	213582	35.99	0	90	3.152181402
225901	10360	156059	15.06	0	83	10360	576492	55.65	0	150	1.532799963
225902	9611	192244	20	0	191	9611	604041	62.85	0	313	1.29905279
225912	6793	13922	2.05	0	36	6793	225486	33.19	0	100	3.66419286
225915	8220	22277	2.71	0	35	8220	316063	38.45	0	91	3.473758887
225917	6207	43695	7.04	0	52	6207	283325	45.65	0	107	2.344107572
225921	8474	42705	5.04	0	60	8474	295672	34.89	0	114	2.438458004
225926	5940	1143	0.19	0	2	5940	215566	36.29	0	84	7.224568874
225933	6628	60410	9.11	0	146	6628	317256	47.87	0	251	2.040738892
225935	5787	20563	3.55	0	39	5787	261999	45.27	0	109	3.319804422
225936	10499	93359	8.89	0	84	10499	425627	40.54	0	122	1.83623081
225942	5871	13557	2.31	0	35	5871	227867	38.81	0	75	3.717603722
225947	7285	46258	6.35	0	67	7285	269490	36.99	0	115	2.189446849
225950	8462	113416	13.4	0	122	8462	431544	51	0	220	1.575404292
225959	9699	34808	3.59	0	59	9699	398359	41.07	0	120	3.163169244
229028	8024	8163	1.02	0	20	8024	284831	35.5	0	272	4.768318013
229031	7868	9502	1.21	0	30	7868	282701	35.93	0	79	4.539250028
229511	5687	5724	1.01	0	11	5687	193035	33.94	0	61	4.717699412
229656	8599	19652	2.29	0	33	8599	306383	35.63	0	70	3.606813026
229682	13962	18347	1.31	0	43	13962	500142	35.82	0	90	4.420266666
229704	11600	28995	2.5	0	88	11600	393271	33.9	0	151	3.408425319
229806	18946	65905	3.48	0	73	18946	681742	35.98	0	178	3.017176021
229822	13614	51847	3.81	0	58	13614	510272	37.48	0	122	2.945398096
229943	22513	64584	2.87	0	90	22513	843701	37.48	0	150	3.354138357
229965	9970	47685	4.78	0	72	9970	404883	40.61	0	133	2.73389255
229997	9248	100841	10.9	0	173	9248	418851	45.29	0	277	1.70200445
230032	15430	221730	14.37	0	201	15430	793719	51.44	0	326	1.486970626
230055	11268	118439	10.51	0	163	11268	456098	40.48	0	218	1.592586666
230066	7248	18306	2.53	0	32	7248	260859	35.99	0	98	3.477526858
230123	9906	24791	2.5	0	85	9906	350167	35.35	0	112	3.468850261
230182	10357	131699	12.72	0	123	10357	495150	47.81	0	162	1.557353781
230217	14031	209703	14.95	0	204	14031	1193388	85.05	0	3724	2.155305797
