chrom	start	ZW_gametologs	dnds	dn	ds
scaffold-Z	105318166	scaffold-Z_105318166_augustus_masked-scaffold-W292525-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-351.3-mRNA-1	0.1700	0.0240	0.1409
scaffold-Z	105389554	scaffold-Z_105389554_augustus_masked-scaffold-W315309-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-351.23-mRNA-1	0.8639	0.0556	0.0643
scaffold-Z	105450385	scaffold-Z_105450385_maker-scaffold-W331055-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-351.33-mRNA-1	0.0647	0.0087	0.1347
scaffold-Z	105512448	scaffold-Z_105512448_augustus_masked-scaffold-Wagouti22-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-351.27-mRNA-1	0.7371	0.2814	0.3818
scaffold-Z	105531125	scaffold-Z_105531125_maker-scaffold-W211880-augustus-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-351.12-mRNA-1	0.4274	0.1071	0.2506
scaffold-Z	105582679	scaffold-Z_105582679_augustus_masked-scaffold-W210200-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-352.20-mRNA-1	0.3532	0.0387	0.1096
scaffold-Z	105631040	scaffold-Z_105631040_maker-scaffold-Wagouti3-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-352.7-mRNA-1	0.5235	0.1511	0.2887
scaffold-Z	105680423	scaffold-Z_105680423_augustus_masked-scaffold-W321164-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-352.2-mRNA-1	0.1705	0.0108	0.0632
scaffold-Z	105690065	scaffold-Z_105690065_augustus_masked-scaffold-W230767-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-352.3-mRNA-1	0.3415	0.0306	0.0897
scaffold-Z	105710861	scaffold-Z_105710861_augustus_masked-scaffold-W311991-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-352.24-mRNA-1	0.6950	0.0191	0.0275
scaffold-Z	105835326	scaffold-Z_105835326_maker-scaffold-W327953-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-352.13-mRNA-1	0.4706	0.0853	0.1813
scaffold-Z	105856879	scaffold-Z_105856879_augustus_masked-scaffold-W349507-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-352.5-mRNA-1	0.3258	0.0256	0.0786
scaffold-Z	105865513	scaffold-Z_105865513_maker-scaffold-W349507-augustus-gene-0.3-mRNA-1_maker-scaffold-Z-augustus-gene-352.33-mRNA-1	0.1413	0.0071	0.0500
scaffold-Z	105873042	scaffold-Z_105873042_maker-scaffold-W244755-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-353.10-mRNA-1	0.0432	0.0040	0.0932
scaffold-Z	105967889	scaffold-Z_105967889_maker-scaffold-W274364-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-353.12-mRNA-1	0.9474	0.6014	0.6348
scaffold-Z	106198960	scaffold-Z_106198960_augustus_masked-scaffold-W283743-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-354.0-mRNA-1	0.3305	0.0297	0.0899
scaffold-Z	106257774	scaffold-Z_106257774_maker-scaffold-W277668-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-354.14-mRNA-1	0.3642	0.0435	0.1196
scaffold-Z	106267800	scaffold-Z_106267800_maker-scaffold-W238660-augustus-gene-0.2-mRNA-1_maker-scaffold-Z-augustus-gene-354.11-mRNA-1	0.7333	0.0223	0.0304
scaffold-Z	106273569	scaffold-Z_106273569_maker-scaffold-W238660-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-354.15-mRNA-1	NA	NA	NA
scaffold-Z	106457061	scaffold-Z_106457061_augustus_masked-scaffold-W285251-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-354.20-mRNA-1	0.4165	0.1045	0.2508
scaffold-Z	106793422	scaffold-Z_106793422_augustus_masked-scaffold-W292519-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-356.13-mRNA-1	NA	NA	NA
scaffold-Z	108875307	scaffold-Z_108875307_augustus_masked-scaffold-W393371-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-363.3-mRNA-1	NA	NA	NA
scaffold-Z	13072015	scaffold-Z_13072015_maker-scaffold-W187323-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-43.10-mRNA-1	0.0010	0.0001	0.0645
scaffold-Z	14838677	scaffold-Z_14838677_maker-scaffold-W236610-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-49.1-mRNA-1	1.3695	0.0436	0.0318
scaffold-Z	15120182	scaffold-Z_15120182_augustus_masked-scaffold-W328303-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-50.3-mRNA-1	0.4664	0.0845	0.1811
scaffold-Z	16279701	scaffold-Z_16279701_maker-scaffold-W328908-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-54.5-mRNA-1	0.4291	0.4169	0.9715
scaffold-Z	18211983	scaffold-Z_18211983_augustus_masked-scaffold-W279443-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-60.11-mRNA-1	NA	NA	NA
scaffold-Z	20364506	scaffold-Z_20364506_maker-scaffold-Wagouti65-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-68.5-mRNA-1	NA	NA	NA
scaffold-Z	24004966	scaffold-Z_24004966_augustus_masked-scaffold-W214186-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-80.5-mRNA-1	0.2755	0.1533	0.5564
scaffold-Z	24384785	scaffold-Z_24384785_maker-scaffold-W214303-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-81.7-mRNA-1	0.2925	0.1075	0.3677
scaffold-Z	2476541	scaffold-Z_2476541_augustus_masked-scaffold-W225864-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-8.2-mRNA-1	0.2491	0.1552	0.6230
scaffold-Z	27718821	scaffold-Z_27718821_maker-scaffold-W335230-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-92.6-mRNA-1	NA	NA	NA
scaffold-Z	33937051	scaffold-Z_33937051_augustus_masked-scaffold-W213628-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-113.0-mRNA-1	0.2849	0.0556	0.1950
scaffold-Z	33953392	scaffold-Z_33953392_maker-scaffold-W284381-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-113.5-mRNA-1	0.0820	0.0151	0.1837
scaffold-Z	36544550	scaffold-Z_36544550_augustus_masked-scaffold-W339681-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-121.8-mRNA-1	NA	NA	NA
scaffold-Z	36550838	scaffold-Z_36550838_augustus_masked-scaffold-W339681-processed-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-121.4-mRNA-1	0.6131	0.0776	0.1266
scaffold-Z	36597885	scaffold-Z_36597885_augustus_masked-scaffold-W246906-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-122.9-mRNA-1	0.5874	0.3048	0.5189
scaffold-Z	36617150	scaffold-Z_36617150_augustus_masked-scaffold-W332733-processed-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-122.10-mRNA-1	0.5746	0.0687	0.1196
scaffold-Z	38445412	scaffold-Z_38445412_maker-scaffold-W275390-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-128.3-mRNA-1	0.3145	0.0619	0.1967
scaffold-Z	40973743	scaffold-Z_40973743_augustus_masked-scaffold-W209805-processed-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-136.0-mRNA-1	0.1247	0.1680	1.3465
scaffold-Z	40974268	scaffold-Z_40974268_augustus_masked-scaffold-W286914-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-136.1-mRNA-1	0.3524	0.1571	0.4457
scaffold-Z	45446651	scaffold-Z_45446651_maker-scaffold-Wagouti32-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-151.3-mRNA-1	0.0542	0.0191	0.3512
scaffold-Z	46642535	scaffold-Z_46642535_augustus_masked-scaffold-W211637-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-155.2-mRNA-1	0.2245	0.0845	0.3763
scaffold-Z	48075357	scaffold-Z_48075357_maker-scaffold-W291146-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-160.6-mRNA-1	0.3598	0.0982	0.2730
scaffold-Z	48228093	scaffold-Z_48228093_maker-scaffold-W296732-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-160.3-mRNA-1	NA	NA	NA
scaffold-Z	48423830	scaffold-Z_48423830_augustus_masked-scaffold-W405142-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-161.16-mRNA-1	NA	NA	NA
scaffold-Z	49525535	scaffold-Z_49525535_maker-scaffold-W369195-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-165.3-mRNA-1	0.0320	0.0085	0.2642
scaffold-Z	6652235	scaffold-Z_6652235_maker-scaffold-W289984-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-22.5-mRNA-1	0.3532	0.0780	0.2209
scaffold-Z	74103894	scaffold-Z_74103894_maker-scaffold-W342219-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-247.9-mRNA-1	0.3607	0.1701	0.4715
scaffold-Z	74113048	scaffold-Z_74113048_augustus_masked-scaffold-W245583-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-247.10-mRNA-1	0.2078	0.1068	0.5142
scaffold-Z	76177000	scaffold-Z_76177000_maker-scaffold-W199021-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-254.4-mRNA-1	NA	NA	NA
scaffold-Z	76427468	scaffold-Z_76427468_maker-scaffold-W377123-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-255.6-mRNA-1	NA	NA	NA
scaffold-Z	77979781	scaffold-Z_77979781_augustus_masked-scaffold-W245241-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-260.7-mRNA-1	0.3497	0.0768	0.2196
scaffold-Z	78127648	scaffold-Z_78127648_augustus_masked-scaffold-W290328-processed-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-260.3-mRNA-1	0.2179	0.0532	0.2443
scaffold-Z	79118366	scaffold-Z_79118366_augustus_masked-scaffold-W327146-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-263.10-mRNA-1	0.4413	0.1446	0.3277
scaffold-Z	79712309	scaffold-Z_79712309_maker-scaffold-W350165-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-266.5-mRNA-1	0.2239	0.0742	0.3312
scaffold-Z	80659852	scaffold-Z_80659852_maker-scaffold-Wagouti18-augustus-gene-0.2-mRNA-1_maker-scaffold-Z-augustus-gene-269.7-mRNA-1	0.0628	0.0149	0.2379
scaffold-Z	81511122	scaffold-Z_81511122_maker-scaffold-W326727-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-271.9-mRNA-1	0.0619	0.0165	0.2670
scaffold-Z	81609785	scaffold-Z_81609785_maker-scaffold-Wagouti35-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-272.4-mRNA-1	0.4698	0.1118	0.2381
scaffold-Z	82689887	scaffold-Z_82689887_maker-scaffold-W396540-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-275.10-mRNA-1	0.4529	0.0535	0.1181
scaffold-Z	82981183	scaffold-Z_82981183_augustus_masked-scaffold-Wagouti38-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-276.4-mRNA-1	0.2504	0.0818	0.3266
scaffold-Z	83517645	scaffold-Z_83517645_maker-scaffold-W315484-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-278.3-mRNA-1	0.2567	0.0365	0.1423
scaffold-Z	86441671	scaffold-Z_86441671_augustus_masked-scaffold-Wagouti31-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-288.6-mRNA-1	0.1750	0.0423	0.2416
scaffold-Z	87892282	scaffold-Z_87892282_maker-scaffold-W235034-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-293.5-mRNA-1	0.4726	0.3161	0.6688
scaffold-Z	88396988	scaffold-Z_88396988_maker-scaffold-Wagouti85-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-294.8-mRNA-1	0.2978	0.0842	0.2827
scaffold-Z	88670286	scaffold-Z_88670286_augustus_masked-scaffold-W234611-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-295.2-mRNA-1	0.1230	0.0298	0.2426
scaffold-Z	88702830	scaffold-Z_88702830_maker-scaffold-Wagouti10-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-295.12-mRNA-1	0.3370	0.2946	0.8740
scaffold-Z	89380338	scaffold-Z_89380338_maker-scaffold-Wagouti86-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-298.8-mRNA-1	0.2354	0.0553	0.2347
scaffold-Z	89440816	scaffold-Z_89440816_augustus_masked-scaffold-W329503-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-298.9-mRNA-1	0.4437	0.3118	0.7029
scaffold-Z	89459248	scaffold-Z_89459248_augustus_masked-scaffold-W310848-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-298.4-mRNA-1	0.4366	0.0494	0.1132
scaffold-Z	89730244	scaffold-Z_89730244_maker-scaffold-Wagouti54-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-299.12-mRNA-1	0.2015	0.0555	0.2756
scaffold-Z	90035554	scaffold-Z_90035554_maker-scaffold-W279164-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-300.2-mRNA-1	0.1605	0.0536	0.3341
scaffold-Z	90532934	scaffold-Z_90532934_maker-scaffold-Wagouti63-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-301.4-mRNA-1	0.0010	0.0002	0.1562
scaffold-Z	90759908	scaffold-Z_90759908_maker-scaffold-Wagouti34-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-302.3-mRNA-1	0.0784	0.0195	0.2494
scaffold-Z	91479689	scaffold-Z_91479689_augustus_masked-scaffold-W292525-processed-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-305.4-mRNA-1	NA	NA	NA
scaffold-Z	91497833	scaffold-Z_91497833_maker-scaffold-W361806-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-305.6-mRNA-1	0.4895	0.2333	0.4766
scaffold-Z	92334440	scaffold-Z_92334440_augustus_masked-scaffold-W278334-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-308.11-mRNA-1	0.1379	0.0210	0.1521
scaffold-Z	92837626	scaffold-Z_92837626_maker-scaffold-W308895-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-309.13-mRNA-1	0.4205	0.1197	0.2847
scaffold-Z	92879514	scaffold-Z_92879514_maker-scaffold-W287227-augustus-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-309.11-mRNA-1	0.7716	0.3098	0.4015
scaffold-Z	92897746	scaffold-Z_92897746_maker-scaffold-W297391-augustus-gene-0.1-mRNA-1_augustus_masked-scaffold-Z-processed-gene-309.6-mRNA-1	0.1228	0.0305	0.2484
scaffold-Z	93239319	scaffold-Z_93239319_maker-scaffold-W244580-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-310.16-mRNA-1	0.1504	0.0351	0.2331
scaffold-Z	93458083	scaffold-Z_93458083_augustus_masked-scaffold-Wagouti74-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-311.10-mRNA-1	0.3257	0.0986	0.3028
scaffold-Z	93527902	scaffold-Z_93527902_augustus_masked-scaffold-Wagouti36-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-312.7-mRNA-1	0.3393	0.2608	0.7686
scaffold-Z	9429493	scaffold-Z_9429493_maker-scaffold-Wagouti91-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-31.5-mRNA-1	0.6225	0.2814	0.4520
scaffold-Z	95035682	scaffold-Z_95035682_maker-scaffold-W327090-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-316.9-mRNA-1	0.3261	0.0773	0.2370
scaffold-Z	98343344	scaffold-Z_98343344_maker-scaffold-W355712-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-327.8-mRNA-1	NA	NA	NA
scaffold-Z	98510960	scaffold-Z_98510960_augustus_masked-scaffold-W225694-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-328.4-mRNA-1	0.3059	0.0209	0.0682
scaffold-Z	98535594	scaffold-Z_98535594_augustus_masked-scaffold-W243873-processed-gene-0.0-mRNA-1_maker-scaffold-Z-augustus-gene-328.11-mRNA-1	0.9025	0.0403	0.0446
scaffold-Z	99720703	scaffold-Z_99720703_maker-scaffold-Wagouti68-augustus-gene-0.1-mRNA-1_maker-scaffold-Z-augustus-gene-332.13-mRNA-1	0.0530	0.0046	0.0861
scaffold-Z	99846619	scaffold-Z_99846619_augustus_masked-scaffold-W225890-processed-gene-0.0-mRNA-1_augustus_masked-scaffold-Z-processed-gene-332.1-mRNA-1	0.2708	0.0238	0.0878
