scaffold	length	repeat_length	prop_repeat	mdg4_length	prop_mdg4
scaffold-Wagouti49	38478	35139	0.913223140496	2364	0.0614377046624
scaffold-Wagouti50	26438	20302	0.767909826765	5386	0.203721915425
scaffold-Wagouti51	26222	20468	0.780565936999	518	0.0197544046983
scaffold-Wagouti52	43712	37072	0.848096632504	3781	0.0864979868228
scaffold-Wagouti53	14177	8527	0.601467165127	1418	0.100021161035
scaffold-Wagouti54	65282	47841	0.732836003799	3514	0.0538280077204
scaffold-Wagouti55	23808	22290	0.936239919355	226	0.00949260752688
scaffold-Wagouti56	52576	46283	0.880306603774	1216	0.0231284236153
scaffold-Wagouti57	24346	24093	0.989608149183	977	0.0401297954489
scaffold-Wagouti58	28160	19255	0.683771306818	136	0.00482954545455
scaffold-Wagouti59	18270	10606	0.580514504652	0	0.0
scaffold-Wagouti60	13664	10915	0.79881440281	1708	0.125
scaffold-Wagouti61	49547	38100	0.768966839566	4279	0.0863624437403
scaffold-Wagouti62	47025	35740	0.760021265284	8193	0.174226475279
scaffold-Wagouti63	17535	15059	0.85879669233	742	0.0423153692615
scaffold-Wagouti64	20558	18332	0.891720984532	2016	0.0980640140091
scaffold-Wagouti65	30132	19408	0.644099296429	2380	0.0789857958317
scaffold-Wagouti66	18680	15325	0.82039614561	1749	0.0936295503212
scaffold-Wagouti67	16314	6421	0.393588329043	0	0.0
scaffold-Wagouti68	24807	14202	0.572499697666	2126	0.0857016164792
scaffold-Wagouti69	35277	29373	0.832638829832	1836	0.0520452419423
scaffold-Wagouti70	13447	5680	0.422399048115	0	0.0
scaffold-Wagouti71	27760	21235	0.764949567723	2920	0.105187319885
scaffold-Wagouti72	22198	21792	0.98171006397	0	0.0
scaffold-Wagouti73	34315	31354	0.913711205012	6617	0.192831123415
scaffold-Wagouti74	36468	28415	0.779176264122	2221	0.0609027092245
scaffold-Wagouti75	26191	23269	0.888434958574	3985	0.152151502424
scaffold-Wagouti76	16134	9913	0.614416759638	2352	0.145779100037
scaffold-Wagouti77	22233	16289	0.732649664913	0	0.0
scaffold-Wagouti78	14348	10899	0.759618065236	0	0.0
scaffold-Wagouti79	23382	16661	0.712556667522	0	0.0
scaffold-Wagouti80	18706	17145	0.916550839303	1869	0.0999144659468
scaffold-Wagouti81	11781	9713	0.824463118581	0	0.0
scaffold-Wagouti82	25054	16953	0.676658417818	0	0.0
scaffold-Wagouti83	21612	18038	0.834628909865	2354	0.108920969832
scaffold-Wagouti84	34203	24954	0.729585124112	858	0.0250855188141
scaffold-Wagouti85	41263	28342	0.686862322177	0	0.0
scaffold-Wagouti86	35745	28334	0.792670303539	0	0.0
scaffold-Wagouti87	30690	24513	0.798729227761	1780	0.0579993483219
scaffold-Wagouti88	33981	33361	0.981754509873	2460	0.0723933963097
scaffold-Wagouti89	16385	14650	0.89411046689	1236	0.0754348489472
scaffold-Wagouti90	26582	16068	0.604469189677	0	0.0
scaffold-Wagouti91	50426	36062	0.715146948003	3685	0.0730773807163
scaffold-Wagouti92	12499	7272	0.581806544524	370	0.0296023681895
scaffold-Wagouti93	33908	29673	0.875103220479	4339	0.127963902324
scaffold-Wagouti94	44513	40270	0.904679531822	2452	0.0550850313392
scaffold-W48	13529	10482	0.774780102003	0	0.0
scaffold-W49	23228	21745	0.936154640951	2133	0.0918288272774
scaffold-W145532	7124	5271	0.73989331836	0	0.0
scaffold-W147273	6271	4541	0.724126933503	173	0.0275873066497
scaffold-W164865	5621	5942	1.0	0	0.0
scaffold-W164983	5874	4658	0.792986040177	0	0.0
scaffold-W165792	8333	8432	1.0	0	0.0
scaffold-W165998	5271	4756	0.902295579586	0	0.0
scaffold-W166105	6159	3099	0.503166098393	0	0.0
scaffold-W166507	5231	2886	0.551710953929	0	0.0
scaffold-W166597	6642	5521	0.831225534478	340	0.0511894007829
scaffold-W166959	6112	6088	0.996073298429	2039	0.333606020942
scaffold-W167821	5349	5410	1.0	0	0.0
scaffold-W173295	6538	7609	1.0	1378	0.210767818905
scaffold-W173377	10547	9398	0.89105906893	1311	0.124300749028
scaffold-W173444	9008	8106	0.89986678508	1781	0.197713143872
scaffold-W173465	9750	5722	0.586871794872	0	0.0
scaffold-W173466	7735	6705	0.86683904331	2016	0.260633484163
scaffold-W173717	8590	9456	1.0	0	0.0
scaffold-W173800	5236	4887	0.933346065699	430	0.0821237585943
scaffold-W173832	5646	5533	0.979985830677	0	0.0
scaffold-W173884	7546	8464	1.0	1826	0.241982507289
scaffold-W174030	6781	3322	0.489898245097	0	0.0
scaffold-W174053	6142	4539	0.739010094432	1365	0.222240312602
scaffold-W174116	5461	5872	1.0	0	0.0
scaffold-W174198	5707	6351	1.0	148	0.0259330646574
scaffold-W174270	11022	10203	0.925694066413	2948	0.26746506986
scaffold-W174293	5648	5386	0.953611898017	0	0.0
scaffold-W174304	6598	6816	1.0	707	0.107153682934
scaffold-W175209	6644	7308	1.0	2311	0.347832630945
scaffold-W175720	6116	4292	0.701765860039	1592	0.260300850229
scaffold-W176205	5211	4872	0.934945308002	0	0.0
scaffold-W176339	5494	4516	0.821987622861	0	0.0
scaffold-W177345	5867	6485	1.0	2124	0.36202488495
scaffold-W178106	6210	4034	0.64959742351	0	0.0
scaffold-W178855	11575	9090	0.785313174946	2159	0.186522678186
scaffold-W179865	5704	5202	0.911991584853	2590	0.454067321178
scaffold-W179873	5113	4414	0.863289653824	109	0.0213182084882
scaffold-W179880	5033	5008	0.995032783628	1970	0.391416650109
scaffold-W179890	5150	4522	0.878058252427	0	0.0
scaffold-W180686	5075	5085	1.0	0	0.0
scaffold-W183765	5624	4501	0.800320056899	2526	0.449146514936
scaffold-W186101	5496	4135	0.752365356623	0	0.0
scaffold-W186124	8801	8692	0.987615043745	3879	0.440745369844
scaffold-W186165	6959	6379	0.916654691766	0	0.0
scaffold-W186218	7561	5909	0.781510382225	57	0.00753868535908
scaffold-W186309	7747	7643	0.986575448561	1600	0.206531560604
scaffold-W186447	5747	6728	1.0	238	0.041412911084
scaffold-W187254	5574	2258	0.40509508432	0	0.0
scaffold-W187323	7613	3727	0.489557336136	500	0.0656771312229
scaffold-W188070	8841	8042	0.909625607963	1459	0.165026580704
scaffold-W188246	5604	5017	0.895253390435	0	0.0
scaffold-W188782	5335	4255	0.797563261481	0	0.0
scaffold-W190336	7542	5038	0.667992574914	1329	0.176213206046
scaffold-W190438	5361	4433	0.826897966797	0	0.0
scaffold-W190874	5060	4922	0.972727272727	1719	0.339723320158
scaffold-W191164	11640	8746	0.751374570447	0	0.0
scaffold-W191442	5039	4890	0.970430641	0	0.0
scaffold-W193322	6727	4102	0.609781477627	0	0.0
scaffold-W193616	7830	6699	0.855555555556	0	0.0
scaffold-W194251	10393	6953	0.669007986145	0	0.0
scaffold-W194744	6931	7108	1.0	0	0.0
scaffold-W194871	6801	5460	0.802823114248	0	0.0
scaffold-W194886	6303	5706	0.905283198477	0	0.0
scaffold-W195837	8246	5665	0.686999757458	0	0.0
scaffold-W195922	14950	13900	0.929765886288	6350	0.42474916388
scaffold-W196594	5635	5233	0.928660159716	0	0.0
scaffold-W197774	6901	5225	0.757136646863	57	0.00825967251123
scaffold-W197841	6195	4991	0.805649717514	0	0.0
scaffold-W197910	5108	2858	0.559514487079	0	0.0
scaffold-W197942	5181	4834	0.933024512642	0	0.0
scaffold-W197945	11892	9907	0.833081062899	4888	0.411032626976
scaffold-W197988	7104	6695	0.942426801802	1879	0.264498873874
scaffold-W198136	5079	4350	0.856467808624	1138	0.224059854302
scaffold-W198138	7830	6397	0.816985951469	0	0.0
scaffold-W198575	5505	3681	0.668664850136	0	0.0
scaffold-W198723	5044	4386	0.869547977795	2155	0.427240285488
scaffold-W198743	6235	4315	0.692060946271	1193	0.191339214114
scaffold-W198845	8621	7286	0.845145574759	0	0.0
scaffold-W198893	13262	12252	0.923842557684	3148	0.237369929121
scaffold-W198938	6138	4589	0.747637666993	0	0.0
scaffold-W198995	7424	4501	0.606276939655	216	0.0290948275862
scaffold-W199021	15900	9326	0.586540880503	1107	0.0696226415094
scaffold-W199040	12269	11566	0.942701116635	3665	0.298720352107
scaffold-W201552	9738	6484	0.66584514274	1434	0.147258163894
scaffold-W207139	6809	3319	0.487443090028	0	0.0
scaffold-W207421	7864	1823	0.231815869786	0	0.0
scaffold-W208471	6697	7259	1.0	0	0.0
scaffold-W208599	5828	3361	0.576698695951	0	0.0
scaffold-W208636	7471	6799	0.910052201847	3406	0.455896131709
scaffold-W208773	8257	7243	0.877195107182	1130	0.136853578782
scaffold-W208775	7496	6592	0.879402347919	2150	0.28681963714
scaffold-W209227	5191	3444	0.663455981506	0	0.0
scaffold-W209246	5559	2961	0.532649757151	0	0.0
scaffold-W209251	6252	7463	1.0	282	0.0451055662188
scaffold-W209279	7899	7505	0.950120268388	910	0.11520445626
scaffold-W209282	6543	7689	1.0	0	0.0
scaffold-W209291	6783	6441	0.949579831933	0	0.0
scaffold-W209322	8230	8936	1.0	0	0.0
scaffold-W209329	6483	6426	0.991207774179	2340	0.360944007404
scaffold-W209338	5256	5242	0.997336377473	0	0.0
scaffold-W209349	6556	7118	1.0	1558	0.23764490543
scaffold-W209357	6562	5027	0.766077415422	245	0.0373361779945
scaffold-W209358	5641	5888	1.0	0	0.0
scaffold-W209364	5091	6148	1.0	1708	0.335494009036
scaffold-W209376	5523	5231	0.947130182872	0	0.0
scaffold-W209426	12135	9496	0.78252987227	0	0.0
scaffold-W209441	10127	10856	1.0	0	0.0
scaffold-W209450	6653	6660	1.0	0	0.0
scaffold-W209551	5999	5936	0.989498249708	0	0.0
scaffold-W209616	6370	4615	0.724489795918	0	0.0
scaffold-W209646	5520	5705	1.0	303	0.0548913043478
scaffold-W209653	5416	4798	0.885893648449	0	0.0
scaffold-W209663	9067	8704	0.95996470718	2353	0.259512517922
scaffold-W209665	13714	11792	0.859851246901	2374	0.173107773079
scaffold-W209667	7402	5576	0.753309916239	324	0.0437719535261
scaffold-W209700	9854	10166	1.0	0	0.0
scaffold-W209709	8260	7798	0.94406779661	0	0.0
scaffold-W209715	5465	6139	1.0	0	0.0
scaffold-W209797	7157	7284	1.0	985	0.137627497555
scaffold-W209805	10494	5950	0.56699066133	0	0.0
scaffold-W209857	12128	12775	1.0	2927	0.241342348285
scaffold-W209859	7007	6539	0.933209647495	1977	0.282146425004
scaffold-W209863	6092	4154	0.68187787262	0	0.0
scaffold-W209882	11435	8615	0.753388718846	0	0.0
scaffold-W209914	6885	4785	0.694989106754	0	0.0
scaffold-W209924	7440	10093	1.0	0	0.0
scaffold-W209955	13685	9560	0.698575082207	2940	0.214833759591
scaffold-W209957	6872	3649	0.530995343423	0	0.0
scaffold-W209986	16220	15456	0.952897657213	2464	0.151911220715
scaffold-W209992	8462	8046	0.950839045143	672	0.0794138501536
scaffold-W210009	6625	5298	0.799698113208	104	0.0156981132075
scaffold-W210013	5692	4428	0.777933942375	720	0.126493323963
scaffold-W210031	6576	6201	0.942974452555	0	0.0
scaffold-W210033	5127	5285	1.0	2587	0.504583577141
scaffold-W210053	5020	4513	0.899003984064	878	0.174900398406
scaffold-W210083	6276	6056	0.964945825366	712	0.113448056087
scaffold-W210084	5106	7043	1.0	0	0.0
scaffold-W210093	8945	6651	0.743543879262	1343	0.150139742873
scaffold-W210170	6328	5357	0.846554993679	0	0.0
scaffold-W210190	12328	8654	0.701979234263	0	0.0
scaffold-W210200	6420	3990	0.621495327103	0	0.0
scaffold-W210201	5406	4298	0.79504254532	869	0.160747317795
scaffold-W210240	8058	6831	0.847728965004	0	0.0
scaffold-W210266	8024	5246	0.653788634098	0	0.0
scaffold-W210277	7614	6604	0.867349619123	0	0.0
scaffold-W210282	8688	7654	0.880985267035	1560	0.17955801105
scaffold-W210321	7024	6907	0.983342824601	0	0.0
scaffold-W210332	8432	7495	0.888875711575	293	0.0347485768501
scaffold-W210346	8242	6174	0.749090026693	0	0.0
scaffold-W210359	5894	5785	0.981506616899	740	0.125551408212
scaffold-W210384	9464	7848	0.829247675402	1403	0.148245984784
scaffold-W210393	5158	6176	1.0	0	0.0
scaffold-W210415	8761	2101	0.239812806757	0	0.0
scaffold-W210433	9063	9744	1.0	2299	0.253668763103
scaffold-W210437	5660	5183	0.915724381625	160	0.0282685512367
scaffold-W210453	5621	5072	0.902330546166	0	0.0
scaffold-W210470	6677	6658	0.997154410663	2202	0.329788827318
scaffold-W210474	7648	7429	0.971365062762	0	0.0
scaffold-W210485	5411	4431	0.818887451488	0	0.0
scaffold-W210496	6217	6329	1.0	183	0.0294354190124
scaffold-W210503	11119	7496	0.674161345445	0	0.0
scaffold-W210505	7268	6637	0.913181067694	0	0.0
scaffold-W210541	5497	4959	0.902128433691	0	0.0
scaffold-W210542	5829	3762	0.64539372105	0	0.0
scaffold-W210550	6345	5244	0.826477541371	973	0.153349093775
scaffold-W210557	6072	6786	1.0	1245	0.205039525692
scaffold-W210566	5487	4120	0.750865682522	0	0.0
scaffold-W210598	5915	4745	0.802197802198	0	0.0
scaffold-W210603	10567	9443	0.893631115738	2183	0.206586543011
scaffold-W210612	10133	8047	0.794137965065	433	0.0427316688049
scaffold-W210645	5577	5798	1.0	0	0.0
scaffold-W210647	10690	7213	0.674742750234	26	0.00243217960711
scaffold-W210704	5058	4732	0.935547647291	111	0.0219454329775
scaffold-W210708	8809	4554	0.516971279373	0	0.0
scaffold-W210717	5569	4939	0.886873765488	81	0.0145448015802
scaffold-W210719	7448	7311	0.981605800215	0	0.0
scaffold-W210729	7326	7314	0.998361998362	2103	0.28705978706
scaffold-W210733	5748	5684	0.988865692415	0	0.0
scaffold-W210766	6889	6560	0.952242705763	0	0.0
scaffold-W210796	8460	9500	1.0	1564	0.184869976359
scaffold-W210824	8754	6968	0.795978981037	0	0.0
scaffold-W210856	12026	10330	0.858972226842	1479	0.122983535673
scaffold-W210897	5439	5291	0.972789115646	2330	0.428387571245
scaffold-W210900	5964	6623	1.0	642	0.107645875252
scaffold-W210912	5702	7165	1.0	2051	0.359698351456
scaffold-W210918	6030	6044	1.0	0	0.0
scaffold-W210928	8888	7796	0.877137713771	0	0.0
scaffold-W210929	6832	5990	0.876756440281	0	0.0
scaffold-W210943	5545	5012	0.903877366997	0	0.0
scaffold-W210951	6667	5212	0.781760911954	0	0.0
scaffold-W210956	6161	6823	1.0	0	0.0
scaffold-W210964	5350	5486	1.0	1187	0.221869158879
scaffold-W211042	5224	4581	0.87691424196	0	0.0
scaffold-W211044	5486	4058	0.739701057237	946	0.172438935472
scaffold-W211054	5201	5125	0.985387425495	1823	0.3505095174
scaffold-W211089	9206	8573	0.931240495329	3463	0.376167716706
scaffold-W211110	7148	7333	1.0	0	0.0
scaffold-W211123	10107	10633	1.0	591	0.0584743247254
scaffold-W211148	11088	8814	0.794913419913	1688	0.152236652237
scaffold-W211152	5165	4687	0.907454017425	1179	0.228267182962
scaffold-W211154	23998	18440	0.768397366447	2008	0.08367363947
scaffold-W211159	6221	4878	0.784118308954	0	0.0
scaffold-W211183	7747	7533	0.972376403769	433	0.0558926035885
scaffold-W211189	5074	2571	0.506700827749	0	0.0
scaffold-W211197	9496	8326	0.876790227464	0	0.0
scaffold-W211205	5345	5696	1.0	0	0.0
scaffold-W211214	5913	4865	0.822763402672	627	0.106037544394
scaffold-W211223	5685	4423	0.778012313105	0	0.0
scaffold-W211236	9498	8990	0.946515055801	1396	0.146978311223
scaffold-W211237	7209	7407	1.0	2884	0.400055486198
scaffold-W211256	5983	5565	0.930135383587	0	0.0
scaffold-W211267	8892	7713	0.867408906883	2643	0.297233468286
scaffold-W211304	5200	5110	0.982692307692	912	0.175384615385
scaffold-W211319	11243	10442	0.928755670195	96	0.00853864626879
scaffold-W211320	8308	7962	0.958353394319	0	0.0
scaffold-W211335	9748	9235	0.947373820271	195	0.0200041034058
scaffold-W211339	6157	5868	0.953061555953	1729	0.280818580478
scaffold-W211348	7804	5357	0.686442849821	0	0.0
scaffold-W211354	5460	3333	0.61043956044	85	0.0155677655678
scaffold-W211360	8217	5803	0.706218814653	0	0.0
scaffold-W211372	5687	5626	0.989273782311	2589	0.455248813082
scaffold-W211374	6265	6043	0.964565043895	0	0.0
scaffold-W211375	7176	7221	1.0	0	0.0
scaffold-W211387	11699	8277	0.707496367211	836	0.0714590990683
scaffold-W211399	7674	5792	0.754756320042	0	0.0
scaffold-W211410	5415	3667	0.677192982456	0	0.0
scaffold-W211428	5400	5039	0.933148148148	0	0.0
scaffold-W211430	13563	13740	1.0	666	0.049104180491
scaffold-W211450	5386	5674	1.0	0	0.0
scaffold-W211454	5822	5068	0.870491240124	1180	0.202679491584
scaffold-W211559	5803	5566	0.959159055661	0	0.0
scaffold-W211568	11892	10442	0.878069290279	3904	0.328287924655
scaffold-W211571	5959	6105	1.0	2020	0.338983050847
scaffold-W211591	8431	8734	1.0	3676	0.436009963231
scaffold-W211623	7821	7294	0.932617312364	0	0.0
scaffold-W211627	9361	9658	1.0	4136	0.441833137485
scaffold-W211637	7398	3857	0.521357123547	0	0.0
scaffold-W211640	6277	6874	1.0	0	0.0
scaffold-W211676	5945	6203	1.0	0	0.0
scaffold-W211704	7637	7675	1.0	47	0.00615424905067
scaffold-W211731	9969	11958	1.0	2128	0.213461731367
scaffold-W211761	5420	5734	1.0	0	0.0
scaffold-W211768	5973	4364	0.730621128411	107	0.0179139460907
scaffold-W211784	8266	4651	0.56266634406	0	0.0
scaffold-W211788	5176	4556	0.880216383308	0	0.0
scaffold-W211805	11041	11560	1.0	0	0.0
scaffold-W211851	8553	6184	0.723021162165	1142	0.133520402198
scaffold-W211862	11040	5740	0.519927536232	0	0.0
scaffold-W211880	5173	2490	0.481345447516	0	0.0
scaffold-W211974	5623	6392	1.0	964	0.171438733772
scaffold-W211979	8472	4860	0.573654390935	0	0.0
scaffold-W212019	5672	3243	0.571755994358	0	0.0
scaffold-W212099	6222	4080	0.655737704918	0	0.0
scaffold-W212110	5030	3323	0.660636182903	0	0.0
scaffold-W213587	10929	10540	0.964406624577	5098	0.466465367371
scaffold-W213628	5397	2401	0.444876783398	0	0.0
scaffold-W213743	9488	7469	0.787204890388	0	0.0
scaffold-W213770	11121	5895	0.530078230375	0	0.0
scaffold-W213790	5594	6160	1.0	182	0.0325348587773
scaffold-W213807	11927	10402	0.872138844638	2690	0.22553869372
scaffold-W213886	5599	4608	0.823004107876	0	0.0
scaffold-W213903	7776	7573	0.973894032922	0	0.0
scaffold-W213932	10690	10363	0.969410664172	1005	0.0940130963517
scaffold-W213935	12826	12102	0.943552159676	2094	0.163262123811
scaffold-W213995	10401	9385	0.902317084896	2223	0.213729449091
scaffold-W214027	11257	11597	1.0	2517	0.223594208048
scaffold-W214037	11693	11595	0.991618917301	2215	0.189429573249
scaffold-W214070	6737	8148	1.0	268	0.0397803176488
scaffold-W214101	7723	7749	1.0	0	0.0
scaffold-W214116	11617	10442	0.898855126108	2441	0.210123095464
scaffold-W214136	10129	7421	0.732648830092	0	0.0
scaffold-W214149	7325	6239	0.851740614334	637	0.0869624573379
scaffold-W214186	11335	655	0.0577856197618	86	0.00758711954124
scaffold-W214192	8855	7310	0.825522303783	0	0.0
scaffold-W214193	5466	6425	1.0	1129	0.206549579217
scaffold-W214259	5269	5242	0.994875687986	655	0.124312013665
scaffold-W214260	7095	6767	0.953770260747	2367	0.333615221987
scaffold-W214275	5762	5825	1.0	369	0.0640402637973
scaffold-W214280	8545	7752	0.90719719134	2394	0.280163838502
scaffold-W214292	8631	8466	0.980882864095	4322	0.500753099293
scaffold-W214303	8788	2031	0.231110605371	0	0.0
scaffold-W215105	8602	6218	0.722855149965	1717	0.199604743083
scaffold-W215315	5398	4058	0.751759911078	0	0.0
scaffold-W215322	5497	5344	0.972166636347	2267	0.412406767328
scaffold-W215720	5816	2671	0.459250343879	0	0.0
scaffold-W215854	5237	4885	0.932785946152	0	0.0
scaffold-W215934	8079	5251	0.649956677807	140	0.0173288773363
scaffold-W215952	8798	4647	0.528188224596	0	0.0
scaffold-W215992	7622	7110	0.932826029913	0	0.0
scaffold-W215996	9744	4652	0.477422003284	0	0.0
scaffold-W218246	7447	8356	1.0	0	0.0
scaffold-W218663	10369	10975	1.0	2350	0.22663709133
scaffold-W219591	6068	6190	1.0	0	0.0
scaffold-W219648	5281	4083	0.773149024806	0	0.0
scaffold-W219730	16657	12730	0.764243261091	0	0.0
scaffold-W219998	9186	6016	0.654909645112	124	0.0134988025256
scaffold-W223971	7053	6980	0.989649794414	2280	0.323266695023
scaffold-W224552	6621	5611	0.84745506721	2423	0.365956804108
scaffold-W225572	5186	4085	0.787697647513	143	0.027574238334
scaffold-W225585	5492	4048	0.73707210488	0	0.0
scaffold-W225694	5196	1061	0.204195535027	0	0.0
scaffold-W225714	6063	5897	0.972620814778	0	0.0
scaffold-W225782	5320	5206	0.978571428571	0	0.0
scaffold-W225845	5427	2152	0.396535839322	0	0.0
scaffold-W225848	7376	3462	0.469360086768	0	0.0
scaffold-W225851	10277	9070	0.882553274302	0	0.0
scaffold-W225852	9402	6496	0.690916826207	745	0.0792384599021
scaffold-W225856	5440	3624	0.666176470588	0	0.0
scaffold-W225858	6378	5676	0.889934148636	1732	0.271558482283
scaffold-W225859	6938	6999	1.0	1929	0.278034015566
scaffold-W225864	14708	12813	0.871158553168	0	0.0
scaffold-W225866	7913	8579	1.0	0	0.0
scaffold-W225874	8458	7188	0.849846299362	2422	0.286356112556
scaffold-W225876	9335	9072	0.971826459561	0	0.0
scaffold-W225890	9319	5920	0.63526129413	0	0.0
scaffold-W225894	10351	8205	0.792677036035	1715	0.16568447493
scaffold-W225900	5935	3182	0.536141533277	0	0.0
scaffold-W225901	10360	8163	0.787934362934	833	0.0804054054054
scaffold-W225902	9611	8823	0.918010612839	3583	0.372801997711
scaffold-W225915	8220	6418	0.780778588808	2101	0.255596107056
scaffold-W225917	6207	5083	0.818914129209	0	0.0
scaffold-W225921	8474	7901	0.932381401935	0	0.0
scaffold-W225926	5940	5297	0.891750841751	3156	0.531313131313
scaffold-W225933	6628	2904	0.438141219071	128	0.019312009656
scaffold-W225935	5787	5705	0.985830309314	645	0.111456713323
scaffold-W225936	10499	9080	0.864844270883	106	0.0100961996381
scaffold-W225942	5871	6392	1.0	1647	0.280531425652
scaffold-W225947	7285	5641	0.774330816747	0	0.0
scaffold-W225950	8462	8026	0.948475537698	0	0.0
scaffold-W225959	9699	9711	1.0	2129	0.219507165687
scaffold-W229028	8024	4565	0.568918245264	0	0.0
scaffold-W229031	7868	6189	0.78660396543	2540	0.322826639553
scaffold-W229511	5687	5825	1.0	685	0.120450149464
scaffold-W229656	8599	8279	0.962786370508	384	0.0446563553902
scaffold-W229682	13962	9612	0.688440051569	2463	0.176407391491
scaffold-W229704	11600	4922	0.424310344828	0	0.0
scaffold-W229806	18946	17663	0.93228122031	1103	0.058218093529
scaffold-W229943	22513	19919	0.884777684005	2404	0.106782747746
scaffold-W229965	9970	6765	0.67853560682	2794	0.280240722166
scaffold-W229997	9248	4847	0.524113321799	0	0.0
scaffold-W230032	15430	13455	0.872002592353	2095	0.135774465327
scaffold-W230055	11268	8312	0.737664181754	324	0.0287539936102
scaffold-W230066	7248	5638	0.777869757174	1578	0.217715231788
scaffold-W230123	9906	8914	0.899858671512	27	0.00272562083586
scaffold-W230182	10357	8797	0.849377232789	0	0.0
scaffold-W230217	14031	14882	1.0	3453	0.246097926021
scaffold-W230265	9287	8240	0.887261763756	0	0.0
scaffold-W230311	8713	8577	0.984391139676	597	0.0685183059796
scaffold-W230318	8816	7678	0.870916515426	415	0.0470735027223
scaffold-W230346	15734	12340	0.784288801322	4102	0.260709291979
scaffold-W230357	13196	9603	0.72772052137	885	0.0670657775083
scaffold-W230429	12982	11094	0.854567863195	4192	0.322908642736
scaffold-W230437	5289	5813	1.0	2844	0.537719795803
scaffold-W230476	6634	4622	0.696713898101	2337	0.35227615315
scaffold-W230498	7909	7719	0.975976735365	615	0.0777595144772
scaffold-W230505	10119	6623	0.654511315347	0	0.0
scaffold-W230659	14399	11527	0.800541704285	0	0.0
scaffold-W230767	5273	3459	0.655983311208	0	0.0
scaffold-W231177	10209	8837	0.86560877657	1035	0.101381134293
scaffold-W231191	6600	6371	0.965303030303	1128	0.170909090909
scaffold-W231389	6497	10056	1.0	0	0.0
scaffold-W231392	5234	5402	1.0	740	0.141383263279
scaffold-W231421	11823	9655	0.816628605261	861	0.0728241563055
scaffold-W231452	11314	10536	0.931235637264	2715	0.239968181015
